Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Humidity Avg. (%),Precip. Accumulated (mm),Precip. (mm),Wind Speed 2 m Avg. (km/h),Wind Speed 10 m Avg. (km/h),Wind Dir. 10 m Avg. (°),Precip. Long Term (mm),Air Temp. Avg. Long Term (°C),Air Temp. Avg. Min. Long Term (°C),Air Temp. Avg. Max. Long Term (°C),Growing Degree Days Long Term (base 5°C) (GDD),Corn Heat Units Long Term (CHU),Frost Probability 0°C (%),ET. Std-Grass (mm),Growing Degree Days (base 5°C) (GDD),Corn Heat Units (CHU),Potato Heat Units (PHU)
Lathom AGCM,2005-04-01,,,,,,,,,,0.7,1.9,-4.4,8.3,1,0,100,,,,
Lathom AGCM,2005-04-02,,,,,,,,,,1.4,1.5,-4.8,7.8,1.6,0,100,,,,
Lathom AGCM,2005-04-03,,,,,,,,,,2,1.9,-4.8,8.6,2.2,0,100,,,,
Lathom AGCM,2005-04-04,,,,,,,,,,2.5,2.6,-4.5,9.7,3.2,0,100,,,,
Lathom AGCM,2005-04-05,,,,,,,,,,3.1,4.8,-2.4,11.9,4.9,0,100,,,,
Lathom AGCM,2005-04-06,,,,,,,,,,3.8,3.8,-2.9,10.6,6.4,0,100,,,,
Lathom AGCM,2005-04-07,,,,,,,,,,4.1,3.5,-3.4,10.3,7.3,0,100,,,,
Lathom AGCM,2005-04-08,,,,,,,,,,5,4,-3.3,11.3,8.5,0,100,,,,
Lathom AGCM,2005-04-09,,,,,,,,,,5.9,4.2,-2.8,11.2,9.8,0,100,,,,
Lathom AGCM,2005-04-10,,,,,,,,,,6.5,3.9,-3.1,10.8,11,0,100,,,,
Lathom AGCM,2005-04-11,,,,,,,,,,7,4,-3.1,11.2,12.2,0,100,,,,
Lathom AGCM,2005-04-12,,,,,,,,,,7.6,4.8,-3.1,12.6,13.7,0,100,,,,
Lathom AGCM,2005-04-13,,,,,,,,,,8.3,5.1,-2.1,12.4,15.7,0,100,,,,
Lathom AGCM,2005-04-14,,,,,,,,,,9.4,5.3,-1.6,12.2,17.7,0,100,,,,
Lathom AGCM,2005-04-15,,,,,,,,,,9.9,5.7,-1.1,12.4,19.7,0,100,,,,
Lathom AGCM,2005-04-16,,,,,,,,,,10.3,5.5,-2,12.9,21.7,0,100,,,,
Lathom AGCM,2005-04-17,,,,,,,,,,10.6,6,-1.7,13.6,24,0,100,,,,
Lathom AGCM,2005-04-18,,,,,,,,,,11.3,5.7,-1.6,13.1,26,0,100,,,,
Lathom AGCM,2005-04-19,,,,,,,,,,12.9,6.2,-0.8,13.2,28.3,0.4,100,,,,
Lathom AGCM,2005-04-20,,,,,,,,,,14.7,6.3,-0.9,13.5,31,0.8,100,,,,
Lathom AGCM,2005-04-21,,,,,,,,,,15.4,7.1,-0.9,15,34.2,1.2,100,,,,
