Township,Date,Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Humidity Avg. (%),Snow Water (mm),Estimated Incoming Rad. Total (MJ/m2)
T028R15W4,2009-01-01,-27.06,-16.09,2.9,2.9,78.84,19.34,3.67
T028R15W4,2009-01-02,-31.29,-20.73,0.41,3.31,73.26,19.83,3.63
T028R15W4,2009-01-03,-36.85,-25.92,0.21,3.52,69.48,20.08,3.72
T028R15W4,2009-01-04,-33.5,-10.54,0.0,3.52,69.26,20.07,5.44
T028R15W4,2009-01-05,-16.73,-3.37,0.0,3.52,73.03,20.04,4.19
T028R15W4,2009-01-06,-15.42,-3.83,0.0,3.52,81.86,20.02,3.94
T028R15W4,2009-01-07,-15.28,-12.28,0.0,3.52,80.42,20.0,2.02
T028R15W4,2009-01-08,-18.55,-13.14,0.0,3.52,83.85,19.99,2.75
T028R15W4,2009-01-09,-27.01,-6.38,0.0,3.52,76.05,19.97,5.42
T028R15W4,2009-01-10,-12.28,0.57,0.0,3.52,70.88,19.94,4.33
T028R15W4,2009-01-11,-13.74,3.87,0.0,3.52,76.02,19.91,5.13
T028R15W4,2009-01-12,-18.14,-3.46,0.0,3.52,84.62,19.89,4.74
T028R15W4,2009-01-13,-14.7,4.99,0.0,3.52,78.56,19.85,5.57
T028R15W4,2009-01-14,-18.06,-13.2,4.14,7.66,82.73,24.8,2.8
T028R15W4,2009-01-15,-15.91,-1.18,0.0,7.66,82.08,24.77,4.94
T028R15W4,2009-01-16,-9.26,5.48,0.0,7.66,70.65,24.72,5.02
T028R15W4,2009-01-17,-8.05,3.27,0.0,7.66,71.21,24.68,4.46
T028R15W4,2009-01-18,-4.99,4.7,0.0,7.66,65.04,24.63,4.19
T028R15W4,2009-01-19,-10.76,2.75,0.0,7.66,65.02,24.59,5.02
T028R15W4,2009-01-20,-13.32,-0.19,0.0,7.66,65.98,24.55,5.02
T028R15W4,2009-01-21,-15.22,-1.14,0.21,7.87,72.22,24.76,5.29
T028R15W4,2009-01-22,-20.82,-6.64,0.0,7.87,75.65,24.73,5.39
T028R15W4,2009-01-23,-28.59,-20.48,0.21,8.08,74.35,24.96,4.14
T028R15W4,2009-01-24,-30.27,-20.18,0.21,8.290000000000001,73.58,25.19,4.69
T028R15W4,2009-01-25,-29.53,-13.95,0.0,8.290000000000001,63.76,25.17,5.93
T028R15W4,2009-01-26,-29.83,-13.9,0.21,8.500000000000002,64.08,25.4,6.1
T028R15W4,2009-01-27,-22.67,1.9,0.0,8.500000000000002,64.89,25.36,7.7
T028R15W4,2009-01-28,-9.66,0.54,0.0,8.500000000000002,74.85,25.3,5.05
T028R15W4,2009-01-29,-11.64,2.52,0.0,8.500000000000002,81.5,25.24,6.05
T028R15W4,2009-01-30,-3.46,6.49,0.0,8.500000000000002,64.19,25.16,5.16
T028R15W4,2009-01-31,-10.18,2.4,0.0,8.500000000000002,63.45,25.1,5.9
T028R15W4,2009-02-01,-14.75,-3.17,0.12,8.620000000000001,65.06,25.19,5.76
T028R15W4,2009-02-02,-13.31,-0.38,0.0,8.620000000000001,77.77,25.13,6.2
T028R15W4,2009-02-03,-10.2,4.01,0.0,8.620000000000001,76.92,25.05,6.62
T028R15W4,2009-02-04,-2.84,8.89,0.0,8.620000000000001,63.58,24.96,6.12
T028R15W4,2009-02-05,-5.37,3.62,0.0,8.620000000000001,75.17,24.87,5.45
T028R15W4,2009-02-06,-8.13,-0.37,0.0,8.620000000000001,86.9,24.79,5.16
T028R15W4,2009-02-07,-12.62,2.41,0.0,8.620000000000001,81.02,24.72,7.31
T028R15W4,2009-02-08,-8.19,5.39,0.0,8.620000000000001,77.32,24.62,7.07
T028R15W4,2009-02-09,-10.94,2.65,0.0,8.620000000000001,88.63,24.54,7.2
T028R15W4,2009-02-10,-11.66,-1.27,0.0,8.620000000000001,81.55,24.46,6.41
T028R15W4,2009-02-11,-16.67,-2.44,0.0,8.620000000000001,80.07,24.39,7.64
T028R15W4,2009-02-12,-17.64,-4.59,0.0,8.620000000000001,78.48,24.32,7.45
T028R15W4,2009-02-13,-18.6,-8.19,0.0,8.620000000000001,80.46,24.26,6.77
T028R15W4,2009-02-14,-16.77,-9.88,0.12,8.74,78.8,24.34,5.61
T028R15W4,2009-02-15,-17.1,-9.01,0.72,9.46,82.82,25.15,6.19
T028R15W4,2009-02-16,-16.54,-8.28,0.36,9.82,86.06,25.51,6.36
T028R15W4,2009-02-17,-20.92,-3.77,0.24,10.06,73.18,25.73,9.33
T028R15W4,2009-02-18,-16.16,0.81,0.0,10.06,72.4,25.64,9.45
T028R15W4,2009-02-19,-14.1,0.93,0.0,10.06,81.67,25.54,9.05
T028R15W4,2009-02-20,-16.48,-4.6,0.0,10.06,87.86,25.45,8.19
T028R15W4,2009-02-21,-15.44,0.39,0.0,10.06,80.3,25.35,9.62
T028R15W4,2009-02-22,-14.88,-2.24,0.0,10.06,84.01,25.25,8.74
T028R15W4,2009-02-23,-12.36,-6.95,3.25,13.31,86.63,29.06,5.82
T028R15W4,2009-02-24,-16.2,-10.56,4.7,18.01,85.82,34.62,6.05
T028R15W4,2009-02-25,-20.71,-16.83,0.72,18.73,79.63,35.42,5.1
T028R15W4,2009-02-26,-27.53,-19.25,1.2,19.93,77.13,36.82,7.57
T028R15W4,2009-02-27,-28.27,-8.05,0.0,19.93,74.13,36.76,12.04
T028R15W4,2009-02-28,-24.9,-11.13,0.0,19.93,74.84,36.69,10.1
T028R15W4,2009-03-01,-20.7,-7.89,0.0,19.93,79.0,36.61,9.91
T028R15W4,2009-03-02,-15.57,1.8,0.0,19.93,84.23,36.48,11.73
T028R15W4,2009-03-03,-7.06,3.39,6.03,25.96,89.29,43.55,9.25
T028R15W4,2009-03-04,-8.59,1.71,0.44,26.400000000000002,93.28,43.92,9.33
T028R15W4,2009-03-05,-18.84,-4.33,0.59,26.990000000000002,83.05,44.52,11.25
T028R15W4,2009-03-06,-27.25,-10.65,0.15,27.14,77.4,44.63,12.22
T028R15W4,2009-03-07,-16.97,0.89,0.29,27.43,79.17,44.84,12.88
T028R15W4,2009-03-08,-20.0,-8.08,0.44,27.87,74.47,45.27,10.69
T028R15W4,2009-03-09,-29.43,-20.63,0.59,28.46,71.14,45.93,9.32
T028R15W4,2009-03-10,-29.94,-20.27,0.44,28.900000000000002,69.09,46.41,9.92
T028R15W4,2009-03-11,-31.73,-13.17,0.0,28.900000000000002,62.64,46.34,13.96
T028R15W4,2009-03-12,-23.15,-1.84,0.0,28.900000000000002,67.21,46.23,15.18
T028R15W4,2009-03-13,-8.87,5.41,0.0,28.900000000000002,70.94,46.03,12.61
T028R15W4,2009-03-14,-8.01,6.44,0.0,28.900000000000002,72.8,45.81,12.88
T028R15W4,2009-03-15,-8.37,1.34,0.0,28.900000000000002,85.59,45.62,10.71
T028R15W4,2009-03-16,-11.48,-2.97,0.0,28.900000000000002,83.8,45.45,10.17
T028R15W4,2009-03-17,-16.56,-1.69,0.0,28.900000000000002,83.41,45.3,13.64
T028R15W4,2009-03-18,-14.84,-0.13,0.0,28.900000000000002,84.01,45.13,13.76
T028R15W4,2009-03-19,-4.24,8.52,0.0,28.900000000000002,71.07,44.87,12.99
T028R15W4,2009-03-20,-7.99,8.03,0.0,28.900000000000002,79.72,44.63,14.75
T028R15W4,2009-03-21,-2.54,7.49,0.0,28.900000000000002,81.42,41.28,11.83
T028R15W4,2009-03-22,-4.48,-0.92,4.26,33.160000000000004,90.24,46.17,7.14
T028R15W4,2009-03-23,-8.76,-0.49,0.15,33.31,79.65,46.14,11.03
T028R15W4,2009-03-24,-11.86,0.16,0.0,33.31,78.78,45.93,13.48
T028R15W4,2009-03-25,-11.05,-4.11,0.0,33.31,74.24,45.75,10.37
T028R15W4,2009-03-26,-15.02,1.74,0.15,33.46,60.41,45.72,16.33
T028R15W4,2009-03-27,-7.02,6.0,0.0,33.46,66.45,42.94,14.57
T028R15W4,2009-03-28,-3.77,4.66,0.15,33.61,74.57,38.09,11.87
T028R15W4,2009-03-29,-6.38,4.18,0.0,33.61,65.68,33.48,13.44
T028R15W4,2009-03-30,-8.42,6.74,0.15,33.76,62.99,25.14,16.31
T028R15W4,2009-03-31,-6.62,9.53,0.0,33.76,59.25,11.93,17.03
T028R15W4,2009-04-01,-3.14,4.37,0.0,33.76,81.87,6.68,11.75
T028R15W4,2009-04-02,-6.29,4.08,0.34,34.1,87.72,2.61,13.96
T028R15W4,2009-04-03,-4.22,3.46,0.0,34.1,87.05,0.0,12.15
T028R15W4,2009-04-04,-5.77,6.29,0.23,34.33,71.86,0.0,15.41
T028R15W4,2009-04-05,-6.68,10.46,0.0,34.33,61.23,0.0,18.56
T028R15W4,2009-04-06,-1.61,15.33,0.0,34.33,49.68,0.0,18.66
T028R15W4,2009-04-07,-3.48,16.08,0.11,34.44,53.53,0.0,20.26
T028R15W4,2009-04-08,0.0,16.14,0.0,34.44,50.42,0.0,18.61
T028R15W4,2009-04-09,0.24,17.0,0.0,34.44,53.94,0.0,19.16
T028R15W4,2009-04-10,-0.43,17.72,0.0,34.44,58.36,0.0,20.13
T028R15W4,2009-04-11,-0.89,19.11,0.0,34.44,53.37,0.0,21.35
T028R15W4,2009-04-12,1.6,15.69,0.0,34.44,47.19,0.0,18.1
T028R15W4,2009-04-13,-0.59,14.43,0.34,34.78,59.93,0.0,18.87
T028R15W4,2009-04-14,-2.15,2.89,0.11,34.89,84.89,0.0,11.03
T028R15W4,2009-04-15,-5.05,8.66,0.0,34.89,62.53,0.0,18.38
T028R15W4,2009-04-16,-3.79,11.53,0.0,34.89,50.6,0.0,19.6
T028R15W4,2009-04-17,-3.93,16.38,0.0,34.89,48.32,0.0,22.77
T028R15W4,2009-04-18,0.61,14.6,0.0,34.89,42.12,0.0,19.07
T028R15W4,2009-04-19,-2.39,16.22,0.0,34.89,39.96,0.0,22.19
T028R15W4,2009-04-20,0.43,21.2,0.0,34.89,43.91,0.0,23.64
T028R15W4,2009-04-21,1.54,22.67,0.0,34.89,45.78,0.0,24.05
T028R15W4,2009-04-22,-0.17,10.22,0.9,35.79,58.63,0.0,17.01
T028R15W4,2009-04-23,-7.7,1.73,0.11,35.9,54.32,0.0,16.33
T028R15W4,2009-04-24,-9.07,4.72,0.0,35.9,58.44,0.0,19.91
T028R15W4,2009-04-25,-6.49,10.88,0.0,35.9,58.42,0.0,22.52
T028R15W4,2009-04-26,-3.97,9.49,0.0,35.9,60.58,0.0,19.97
T028R15W4,2009-04-27,-3.31,4.13,2.37,38.269999999999996,66.39,0.0,14.95
T028R15W4,2009-04-28,-6.88,6.76,0.0,38.269999999999996,52.76,0.0,20.41
T028R15W4,2009-04-29,-8.31,7.82,0.0,38.269999999999996,44.08,0.0,22.35
T028R15W4,2009-04-30,-8.89,10.97,0.11,38.379999999999995,44.11,0.0,24.98
T028R15W4,2009-05-01,-4.38,15.35,0.0,38.379999999999995,46.73,0.0,25.07
T028R15W4,2009-05-02,-2.25,17.52,0.0,38.379999999999995,39.33,0.0,25.27
T028R15W4,2009-05-03,-0.08,21.21,0.0,38.379999999999995,40.68,0.0,26.39
T028R15W4,2009-05-04,3.57,18.56,0.58,38.959999999999994,41.08,0.0,22.29
T028R15W4,2009-05-05,0.07,19.16,0.29,39.24999999999999,47.87,0.0,25.32
T028R15W4,2009-05-06,4.01,17.32,2.34,41.58999999999999,53.51,0.0,21.27
T028R15W4,2009-05-07,-0.51,13.12,0.0,41.58999999999999,78.01,0.0,21.65
T028R15W4,2009-05-08,0.15,13.83,3.5,45.08999999999999,71.26,0.0,21.82
T028R15W4,2009-05-09,1.52,16.42,1.46,46.54999999999999,68.41,0.0,22.9
T028R15W4,2009-05-10,-0.46,18.27,0.0,46.54999999999999,59.86,0.0,25.83
T028R15W4,2009-05-11,0.44,19.75,0.0,46.54999999999999,50.19,0.0,26.36
T028R15W4,2009-05-12,-0.24,14.96,0.29,46.83999999999999,61.5,0.0,23.52
T028R15W4,2009-05-13,-2.14,12.05,0.88,47.71999999999999,51.43,0.0,22.84
T028R15W4,2009-05-14,-1.13,10.51,0.29,48.00999999999999,63.24,0.0,20.79
T028R15W4,2009-05-15,-4.89,13.09,1.75,49.75999999999999,67.64,0.0,25.96
T028R15W4,2009-05-16,-0.11,21.93,0.0,49.75999999999999,44.67,0.0,28.88
T028R15W4,2009-05-17,5.42,25.71,0.0,49.75999999999999,45.62,0.0,27.84
T028R15W4,2009-05-18,-0.98,5.76,0.0,49.75999999999999,79.5,0.0,16.11
T028R15W4,2009-05-19,0.24,15.9,0.0,49.75999999999999,67.45,0.0,24.67
T028R15W4,2009-05-20,-1.72,10.0,0.0,49.75999999999999,59.1,0.0,21.44
T028R15W4,2009-05-21,-2.21,15.79,0.0,49.75999999999999,50.11,0.0,26.67
T028R15W4,2009-05-22,-5.31,16.28,0.0,49.75999999999999,47.67,0.0,29.33
