"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Max. (°C)","Air Temp. Avg. (°C)","Humidity Min. (%)","Humidity Max. (%)","Humidity Avg. (%)","Precip. Accumulated (mm)","Precip. (mm)","Wind Speed 2 m Avg. (km/h)","Wind Speed 10 m Avg. (km/h)"
"Blackie AGCM","28-May-2012","0.572","14.610","7.996","43.400","95.800","68.266","0.000","0.000","11.406",""
"Blackie AGCM","29-May-2012","5.266","20.110","11.859","21.460","89.100","60.560","1.700","1.700","14.074",""
"Blackie AGCM","30-May-2012","1.508","17.770","10.394","26.770","96.600","61.346","1.800","0.100","5.545",""
"Blackie AGCM","31-May-2012","1.496","21.700","12.470","20.460","85.700","50.583","1.800","0.000","8.199",""
"Blackie AGCM","01-June-2012","2.358","22.750","13.877","28.000","89.900","51.930","1.800","0.000","8.799",""
"Blackie AGCM","02-June-2012","3.108","20.100","12.984","30.760","91.200","65.413","2.000","0.200","9.263",""
"Blackie AGCM","03-June-2012","0.391","20.650","11.938","24.050","97.600","55.836","2.000","0.000","7.156",""
"Blackie AGCM","04-June-2012","3.266","22.220","14.493","29.870","83.500","51.699","2.000","0.000","7.383",""
"Blackie AGCM","05-June-2012","11.880","18.060","14.787","72.610","94.600","83.767","44.400","42.400","12.970",""
"Blackie AGCM","06-June-2012","5.641","15.610","11.371","45.770","97.400","74.861","65.600","21.200","16.133",""
"Blackie AGCM","07-June-2012","4.261","19.410","12.128","24.890","67.990","43.534","65.700","0.100","16.865",""
"Blackie AGCM","08-June-2012","5.438","14.380","10.066","57.370","91.900","76.523","75.500","9.800","8.773",""
"Blackie AGCM","09-June-2012","2.553","13.650","9.091","49.210","96.200","76.129","75.500","0.000","11.010",""
"Blackie AGCM","10-June-2012","7.096","15.920","11.423","59.730","92.200","77.695","82.100","6.600","24.543",""
"Blackie AGCM","11-June-2012","7.192","22.430","15.102","26.090","93.600","63.585","82.200","0.100","4.567",""
"Blackie AGCM","12-June-2012","4.891","24.570","15.687","24.720","90.300","53.781","82.300","0.100","5.363",""
"Blackie AGCM","13-June-2012","9.080","18.940","12.416","47.610","91.000","77.015","89.000","6.700","12.130",""
"Blackie AGCM","14-June-2012","8.160","19.470","13.627","41.380","93.100","65.034","89.100","0.100","8.789",""
"Blackie AGCM","15-June-2012","5.401","17.920","10.798","35.950","92.100","70.647","96.500","7.400","13.390",""
"Blackie AGCM","16-June-2012","3.086","22.470","14.346","39.930","96.700","63.530","96.600","0.100","9.622",""
"Blackie AGCM","17-June-2012","9.200","21.110","15.850","37.560","86.800","58.955","96.600","0.000","10.921",""
"Blackie AGCM","18-June-2012","5.419","13.060","9.517","73.780","96.100","86.836","99.800","3.200","7.098",""
"Blackie AGCM","19-June-2012","6.401","16.960","10.469","60.850","94.100","82.693","101.600","1.800","10.674",""
"Blackie AGCM","20-June-2012","4.688","19.420","12.431","38.070","95.200","71.465","101.700","0.100","5.272",""
"Blackie AGCM","21-June-2012","4.092","21.280","14.070","40.390","96.400","71.398","101.700","0.000","5.974",""
"Blackie AGCM","22-June-2012","8.210","20.970","14.692","57.840","94.500","79.370","102.700","1.000","5.585",""
"Blackie AGCM","23-June-2012","12.240","19.250","14.552","65.310","95.300","84.765","113.800","11.100","5.999",""
"Blackie AGCM","24-June-2012","10.480","19.870","14.447","72.400","96.600","88.513","114.200","0.400","5.660",""
"Blackie AGCM","25-June-2012","8.490","23.680","15.368","50.610","96.800","74.019","114.300","0.100","6.796",""
"Blackie AGCM","26-June-2012","5.756","13.900","9.319","84.300","96.700","91.763","137.000","22.700","8.050",""
"Blackie AGCM","27-June-2012","7.092","20.350","13.339","37.890","91.900","63.345","145.900","8.900","11.828",""
"Blackie AGCM","28-June-2012","3.133","22.270","14.120","40.630","93.100","67.702","146.000","0.100","5.882",""
"Blackie AGCM","29-June-2012","9.780","24.150","16.685","40.410","94.400","68.057","146.000","0.000","6.979",""
"Blackie AGCM","30-June-2012","6.873","24.510","16.396","51.040","89.800","68.743","146.000","0.000","6.123",""
"Blackie AGCM","01-July-2012","11.650","22.650","17.402","55.070","92.000","71.606","146.200","0.200","7.406",""
"Blackie AGCM","02-July-2012","6.189","23.560","15.787","44.240","96.200","72.562","146.200","0.000","7.864",""
"Blackie AGCM","03-July-2012","9.250","19.880","14.114","40.380","95.700","65.509","151.700","5.500","13.666",""
"Blackie AGCM","04-July-2012","6.995","21.260","14.125","36.980","94.600","57.788","151.800","0.100","7.564",""
"Blackie AGCM","05-July-2012","3.548","21.710","13.825","50.920","97.100","76.820","151.900","0.100","5.196",""
"Blackie AGCM","06-July-2012","6.517","22.700","15.889","52.880","95.000","73.245","151.900","0.000","5.405",""
"Blackie AGCM","07-July-2012","6.116","25.090","17.088","53.450","97.200","77.606","151.900","0.000","5.209",""
"Blackie AGCM","08-July-2012","9.080","27.240","18.715","64.090","96.500","82.219","151.900","0.000","3.550",""
"Blackie AGCM","09-July-2012","10.460","29.740","20.238","31.670","96.800","68.140","151.900","0.000","3.622",""
"Blackie AGCM","10-July-2012","11.090","29.720","20.872","42.650","94.400","69.347","151.900","0.000","3.115",""
"Blackie AGCM","11-July-2012","10.950","27.030","19.566","53.810","97.000","75.489","151.900","0.000","4.675",""
"Blackie AGCM","12-July-2012","11.310","27.420","20.229","60.020","97.000","80.035","151.900","0.000","4.449",""
"Blackie AGCM","13-July-2012","15.490","26.160","20.319","60.040","94.500","81.514","151.900","0.000","5.753",""
"Blackie AGCM","14-July-2012","13.040","22.920","18.041","73.020","96.600","87.126","151.900","0.000","3.311",""
"Blackie AGCM","15-July-2012","11.280","18.730","16.140","78.190","96.700","88.319","152.000","0.100","5.459",""
"Blackie AGCM","16-July-2012","13.090","22.260","17.257","67.270","95.700","86.796","152.300","0.300","6.940",""
"Blackie AGCM","17-July-2012","12.570","25.060","18.571","66.310","97.200","85.397","152.300","0.000","7.356",""
"Blackie AGCM","18-July-2012","12.700","27.900","20.411","29.080","90.400","64.283","152.300","0.000","5.778",""
"Blackie AGCM","19-July-2012","10.790","25.470","18.739","59.170","96.300","77.703","152.300","0.000","5.673",""
"Blackie AGCM","20-July-2012","12.940","24.190","17.651","70.950","93.000","82.677","153.000","0.700","4.930",""
"Blackie AGCM","21-July-2012","11.470","27.170","19.159","33.890","90.800","60.265","153.100","0.100","9.694",""
"Blackie AGCM","22-July-2012","5.733","25.140","16.848","39.220","95.900","72.131","153.100","0.000","4.540",""
"Blackie AGCM","23-July-2012","7.755","24.310","16.854","21.000","95.600","62.766","155.600","2.500","10.002",""
"Blackie AGCM","24-July-2012","6.578","23.340","15.706","38.690","82.400","57.494","155.600","0.000","7.933",""
"Blackie AGCM","25-July-2012","11.910","23.410","16.650","55.730","93.800","75.386","155.600","0.000","5.922",""
"Blackie AGCM","26-July-2012","9.640","24.260","15.767","52.360","96.700","82.728","155.600","0.000","2.729",""
"Blackie AGCM","27-July-2012","6.167","27.000","16.590","42.870","97.700","78.922","156.400","0.800","2.672",""
"Blackie AGCM","28-July-2012","10.330","28.940","18.122","21.270","94.300","66.318","156.500","0.100","5.031",""
"Blackie AGCM","29-July-2012","5.208","26.700","16.965","33.510","97.200","70.256","156.500","0.000","3.882",""
"Blackie AGCM","30-July-2012","6.381","29.230","18.150","23.830","96.700","65.075","156.500","0.000","5.344",""
"Blackie AGCM","31-July-2012","5.902","26.880","16.651","38.110","95.700","69.117","156.500","0.000","6.251",""
"Blackie AGCM","01-August-2012","8.450","26.100","17.095","32.290","94.200","66.920","156.600","0.100","3.403",""
"Blackie AGCM","02-August-2012","5.269","14.660","11.251","75.450","93.900","87.319","165.800","9.200","6.261",""
"Blackie AGCM","03-August-2012","3.754","21.190","11.937","52.750","96.200","80.830","167.800","2.000","5.466",""
"Blackie AGCM","04-August-2012","8.590","27.320","18.098","37.670","95.600","68.074","167.800","0.000","5.306",""
"Blackie AGCM","05-August-2012","8.750","28.750","19.300","37.500","95.100","69.579","167.800","0.000","4.976",""
"Blackie AGCM","06-August-2012","8.970","31.200","20.665","30.590","95.500","69.310","167.800","0.000","3.836",""
"Blackie AGCM","07-August-2012","13.660","28.760","20.337","40.100","93.200","71.074","167.800","0.000","4.747",""
"Blackie AGCM","08-August-2012","8.200","29.470","19.226","39.380","97.200","69.158","167.800","0.000","5.458",""
"Blackie AGCM","09-August-2012","7.262","29.490","18.948","21.460","95.500","59.417","167.800","0.000","6.109",""
"Blackie AGCM","10-August-2012","8.180","26.040","18.220","41.260","94.200","67.872","167.800","0.000","6.552",""
"Blackie AGCM","11-August-2012","10.750","23.390","17.063","40.690","96.300","72.086","167.800","0.000","5.893",""
"Blackie AGCM","12-August-2012","10.700","25.890","17.424","41.850","92.800","69.480","167.800","0.000","6.411",""
"Blackie AGCM","13-August-2012","7.015","29.910","18.501","26.180","91.600","59.733","167.800","0.000","8.523",""
"Blackie AGCM","14-August-2012","9.000","27.970","14.814","34.580","93.200","77.616","170.800","3.000","9.366",""
"Blackie AGCM","15-August-2012","5.030","18.260","11.356","34.490","95.400","73.080","171.100","0.300","5.924",""
"Blackie AGCM","16-August-2012","-0.158","26.020","13.098","20.010","96.600","63.277","171.200","0.100","3.233",""
"Blackie AGCM","17-August-2012","1.091","28.250","15.370","16.780","95.200","60.077","171.200","0.000","3.877",""
"Blackie AGCM","18-August-2012","2.978","29.640","17.210","20.610","95.400","57.415","171.200","0.000","5.718",""
"Blackie AGCM","19-August-2012","4.602","32.220","18.637","18.860","94.100","56.796","171.200","0.000","4.032",""
"Blackie AGCM","20-August-2012","10.640","30.250","19.433","26.960","86.400","58.851","171.200","0.000","4.247",""
"Blackie AGCM","21-August-2012","8.450","27.990","16.870","30.810","90.500","64.605","171.200","0.000","4.713",""
"Blackie AGCM","22-August-2012","5.715","27.570","16.699","22.920","90.400","57.763","171.200","0.000","3.447",""
"Blackie AGCM","23-August-2012","6.430","27.290","16.336","21.400","95.100","60.234","171.200","0.000","6.167",""
"Blackie AGCM","24-August-2012","3.477","16.690","9.617","44.820","93.600","80.373","183.900","12.700","7.429",""
"Blackie AGCM","25-August-2012","1.594","21.150","10.851","25.870","94.400","63.257","184.000","0.100","3.791",""
"Blackie AGCM","26-August-2012","0.478","25.900","13.262","18.180","96.400","57.834","184.000","0.000","7.761",""
"Blackie AGCM","27-August-2012","3.865","31.780","17.164","11.990","93.900","49.463","184.000","0.000","7.242",""
"Blackie AGCM","28-August-2012","9.420","31.130","21.061","9.870","49.900","27.499","184.000","0.000","10.787",""
"Blackie AGCM","29-August-2012","4.306","22.920","16.213","16.570","69.880","38.606","184.000","0.000","7.601",""
"Blackie AGCM","30-August-2012","-0.088","24.210","12.440","19.450","92.100","53.274","184.000","0.000","3.897",""
"Blackie AGCM","31-August-2012","0.003","26.770","13.532","15.880","87.100","56.595","184.000","0.000","8.136",""
"Blackie AGCM","01-September-2012","5.703","22.070","12.604","24.790","94.100","66.252","184.000","0.000","8.233",""
"Blackie AGCM","02-September-2012","-2.226","23.970","12.429","14.980","94.000","48.400","184.000","0.000","8.195",""
"Blackie AGCM","03-September-2012","-0.346","23.540","11.696","20.700","91.400","54.180","184.000","0.000","5.884",""
"Blackie AGCM","04-September-2012","2.468","21.520","12.499","24.030","84.300","53.166","184.000","0.000","6.586",""
"Blackie AGCM","05-September-2012","0.030","16.050","9.011","42.040","93.600","70.941","184.000","0.000","8.531",""
"Blackie AGCM","06-September-2012","2.174","20.820","11.087","28.310","96.400","65.104","184.200","0.200","4.661",""
"Blackie AGCM","07-September-2012","-1.309","27.220","13.116","15.610","97.000","54.598","184.300","0.100","4.441",""
"Blackie AGCM","08-September-2012","2.369","30.910","16.025","9.090","93.500","48.914","184.300","0.000","7.185",""
"Blackie AGCM","09-September-2012","5.731","28.970","15.837","15.390","66.980","44.640","184.300","0.000","8.617",""
"Blackie AGCM","10-September-2012","-0.992","21.090","12.054","18.720","78.180","47.679","184.300","0.000","12.591",""
"Blackie AGCM","11-September-2012","-8.430","16.770","5.601","12.530","94.900","48.058","184.300","0.000","7.983",""
"Blackie AGCM","12-September-2012","-5.629","19.580","7.507","14.760","82.900","44.444","184.300","0.000","4.927",""
"Blackie AGCM","13-September-2012","0.467","25.940","13.908","17.350","82.400","43.151","184.300","0.000","5.864",""
"Blackie AGCM","14-September-2012","-0.828","28.420","13.412","8.700","91.000","43.912","184.300","0.000","4.223",""
"Blackie AGCM","15-September-2012","4.109","19.330","12.125","16.760","65.930","38.467","184.300","0.000","8.145",""
"Blackie AGCM","16-September-2012","-0.876","17.750","8.292","28.060","86.300","55.937","184.300","0.000","6.144",""
"Blackie AGCM","17-September-2012","-3.217","24.990","10.793","13.930","95.800","53.450","184.300","0.000","4.531",""
"Blackie AGCM","18-September-2012","0.601","28.810","12.128","7.791","84.100","50.935","184.300","0.000","7.178",""
"Blackie AGCM","19-September-2012","-2.435","25.670","10.975","16.200","96.100","55.560","184.300","0.000","4.811",""
"Blackie AGCM","20-September-2012","1.331","26.980","13.119","17.200","86.900","50.899","184.300","0.000","3.612",""
"Blackie AGCM","21-September-2012","2.289","26.690","13.817","18.780","86.600","52.880","184.300","0.000","5.765",""
"Blackie AGCM","22-September-2012","2.207","26.880","13.841","18.630","88.000","50.907","184.300","0.000","5.945",""
"Blackie AGCM","23-September-2012","3.633","25.030","12.706","21.410","88.300","57.446","184.300","0.000","4.891",""
