Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Humidity Min. (%),Humidity Max. (%),Humidity Avg. (%),Precip. Accumulated (mm),Precip. (mm),Wind Speed 2 m Avg. (km/h)
Champion AGDM,01-Jan-11,-18.65,-6.025,-12.008,60.15,89.9,79.017,0,0,5.3
Champion AGDM,02-Jan-11,-6.287,-0.679,-3.93,72.1,94.1,82.283,0,0,8.437
Champion AGDM,03-Jan-11,-17.86,-5.266,-10.411,55.64,93.8,78.985,0,0,6.451
Champion AGDM,04-Jan-11,-16.57,-3.409,-9.525,58.38,88.9,77.076,0,0,4.654
Champion AGDM,05-Jan-11,-8.64,4.218,-1.736,59.05,83.9,71.679,0,0,10.232
Champion AGDM,06-Jan-11,-4.942,5.083,-0.102,57.71,92.4,74.849,0,0,10.862
Champion AGDM,07-Jan-11,-6.193,4.266,-1.341,69.3,95.7,82.067,0,0,12.177
Champion AGDM,08-Jan-11,-13.64,-1.143,-8.41,76.6,95.1,91.263,2,2,33.212
Champion AGDM,09-Jan-11,-16.17,-13.62,-15.228,86.6,89.2,87.75,4.2,2.2,41.763
Champion AGDM,10-Jan-11,-22.7,-16.15,-17.91,80.3,86.3,83.954,4.4,0.2,21.502
Champion AGDM,11-Jan-11,-28.02,-18.32,-24.091,75,83.3,79.263,4.5,0.1,2.204
Champion AGDM,12-Jan-11,-24.62,-16.77,-20.386,77.6,85.7,81,4.5,0,8.539
Champion AGDM,13-Jan-11,-22.94,-18.83,-20.742,74.3,84.2,77.671,4.5,0,8.313
Champion AGDM,14-Jan-11,-22.18,-20.33,-21.342,66.55,83.7,75.714,4.5,0,12.438
Champion AGDM,15-Jan-11,-22.95,-20.85,-22.192,76.3,84.1,79.958,4.5,0,9.229
Champion AGDM,16-Jan-11,-20.85,-15.91,-18.715,74.7,86.9,81.263,4.5,0,14.888
Champion AGDM,17-Jan-11,-20.36,-16.99,-19.279,73.9,82.8,78.083,4.5,0,10.876
Champion AGDM,18-Jan-11,-19.44,-9.62,-13.949,66.51,91.7,80.174,6.6,2.1,8.85
Champion AGDM,19-Jan-11,-22.26,-6.463,-14.008,51.19,85.8,69.791,6.6,0,9.49
Champion AGDM,20-Jan-11,-19.6,2.744,-7.061,57.76,91.6,75.6,6.6,0,12.493
Champion AGDM,21-Jan-11,-6.84,2.79,-1.417,54.31,86.9,70.276,6.6,0,12.362
Champion AGDM,22-Jan-11,-6.132,2.147,-1.363,50.57,87,66.456,6.6,0,10.824
Champion AGDM,23-Jan-11,-11.62,4.151,-1.22,50.08,88.8,66.987,6.6,0,16.413
Champion AGDM,24-Jan-11,-14.91,5.47,-3.279,56.15,93.5,78.197,6.6,0,8.131
Champion AGDM,25-Jan-11,-7.29,5.118,-1.202,62.27,93.5,77.22,6.6,0,7.808
Champion AGDM,26-Jan-11,-3.884,7.64,2.735,63.38,81.1,71.513,6.6,0,17.275
Champion AGDM,27-Jan-11,0.727,7.75,3.79,53.34,78.8,67.672,6.6,0,15.424
Champion AGDM,28-Jan-11,-8.52,3.74,-2.112,63.35,94.2,79.59,6.6,0,12.12
Champion AGDM,29-Jan-11,-18.57,-8.49,-14.227,79.8,91.7,85.438,12.9,6.3,11.999
Champion AGDM,30-Jan-11,-30.78,-18.55,-22.606,75.3,83.1,78.583,13.7,0.8,11.578
Champion AGDM,31-Jan-11,-33.79,-20.23,-28.241,70.2,81.3,74.538,13.8,0.1,5.096
Champion AGDM,01-Feb-11,-32.51,-11.38,-25.466,70.8,84.3,75.452,13.8,0,4.169
Champion AGDM,02-Feb-11,-23.54,0.924,-8.322,62.88,94.5,77.678,13.8,0,6.687
Champion AGDM,03-Feb-11,-10.53,6.33,-3.463,64.73,95.1,81.794,13.8,0,7.717
Champion AGDM,04-Feb-11,-2.924,7.51,3.129,58.84,93,70.688,13.8,0,21.875
Champion AGDM,05-Feb-11,-8.66,1.462,-1.17,76,95.8,83.713,13.8,0,23.688
Champion AGDM,06-Feb-11,-13.35,-8.66,-11.415,71.8,90.5,81.446,14.5,0.7,13.818
Champion AGDM,07-Feb-11,-24.85,-11.86,-16.019,80.1,90.2,86.275,20.8,6.3,12.122
Champion AGDM,08-Feb-11,-25.08,-11.49,-20.029,77.7,87,82.681,20.9,0.1,6.73
Champion AGDM,09-Feb-11,-28.83,-4.649,-14.524,50.7,87.3,72.846,21,0.1,8.621
Champion AGDM,10-Feb-11,-13.5,2.884,-5.342,48.71,86.1,70.835,21,0,7.57
Champion AGDM,11-Feb-11,-9.3,6.229,-1.538,51.76,83.2,69.366,21,0,13.111
Champion AGDM,12-Feb-11,0.081,7.74,3.727,48.55,83.2,64.494,21,0,31.837
Champion AGDM,13-Feb-11,-2.474,5.959,1.616,39.8,93.3,69.463,21.4,0.4,21.689
Champion AGDM,14-Feb-11,-3.792,5.563,1.675,56.9,80.2,68.955,21.4,0,19.713
Champion AGDM,15-Feb-11,-2.569,5.369,2.004,59.38,88.3,70.885,21.4,0,21.531
Champion AGDM,16-Feb-11,-17.91,-1.484,-12.701,81.1,97.2,88.588,21.7,0.3,13.064
Champion AGDM,17-Feb-11,-19.5,-14.9,-17.928,68.02,86.6,79.444,21.8,0.1,11.397
Champion AGDM,18-Feb-11,-24.9,-18.3,-20.724,62.37,79.8,73.508,21.9,0.1,10.287
Champion AGDM,19-Feb-11,-26.34,-15.13,-21.513,69.41,83,77.545,22,0.1,5.631
Champion AGDM,20-Feb-11,-24.16,-9.56,-17.295,68.69,84.6,79.025,22,0,11.221
Champion AGDM,21-Feb-11,-19.33,0.564,-9.771,48.63,88.6,72.491,22,0,9.491
Champion AGDM,22-Feb-11,-14.37,-7.58,-10.524,66.27,89.4,79.965,22.2,0.2,15.016
Champion AGDM,23-Feb-11,-20.56,-14.37,-17.81,66.71,86.6,78.602,22.6,0.4,12.94
Champion AGDM,24-Feb-11,-28.3,-19.62,-23.225,61.08,80.8,73.243,22.9,0.3,8.273
Champion AGDM,25-Feb-11,-34.81,-11.45,-24.342,43.73,76.4,65.506,23.1,0.2,5.053
Champion AGDM,26-Feb-11,-23.84,-0.66,-10.825,52.77,93.9,72.275,23.1,0,7.367
Champion AGDM,27-Feb-11,-19.91,-3.836,-13.199,49.01,88.3,69.813,23.3,0.2,6.711
Champion AGDM,28-Feb-11,-24.33,-13.68,-19.795,69.3,87.1,77.739,24,0.7,25.966
Champion AGDM,01-Mar-11,-30.63,-21.69,-24.895,65.33,79.6,72.302,24,0,7.442
Champion AGDM,02-Mar-11,-22.75,-14.79,-19.395,74.5,84.3,79.692,24.1,0.1,13.385
Champion AGDM,03-Mar-11,-23.46,-13.86,-19.11,66.16,84.5,77.162,24.2,0.1,11.866
Champion AGDM,04-Mar-11,-22.53,-12.84,-18.695,55.48,83.8,75.217,24.2,0,8.16
Champion AGDM,05-Mar-11,-20.44,-15.71,-17.59,71.4,84.7,79.246,24.3,0.1,13.98
Champion AGDM,06-Mar-11,-24.26,-14.32,-18.264,63.17,85.3,76.899,25.1,0.8,6.268
Champion AGDM,07-Mar-11,-25.14,-11.52,-19.952,61.88,85.6,78.222,25.2,0.1,3.856
Champion AGDM,08-Mar-11,-23.67,-8.86,-16.148,66.25,86.9,79.847,25.2,0,4.086
Champion AGDM,09-Mar-11,-17.91,4.612,-3.493,57.83,90.8,74.567,25.2,0,16.355
Champion AGDM,10-Mar-11,-10.02,7.37,1.598,54.67,92.4,73.19,25.2,0,17.194
Champion AGDM,11-Mar-11,-13.73,-9.76,-11.714,69.29,89.3,79.547,25.2,0,14.092
Champion AGDM,12-Mar-11,-12.45,4.526,-3.868,58.42,94.2,79.026,25.2,0,15.234
Champion AGDM,13-Mar-11,-4.014,4.705,1.54,60.28,78.9,70.85,25.2,0,15.809
Champion AGDM,14-Mar-11,0.853,7.07,3.921,42.64,76.5,61.866,25.2,0,21.836
Champion AGDM,15-Mar-11,0.048,7.67,3.194,54.14,82.1,65.887,25.2,0,15.867
Champion AGDM,16-Mar-11,-1.58,5.084,1.821,50.66,95.4,77.797,25.2,0,13.91
Champion AGDM,17-Mar-11,-3.744,7.31,0.805,34.35,99.2,79.238,25.2,0,5.346
Champion AGDM,18-Mar-11,-7.51,4.872,-1.685,42.22,98,77.28,25.2,0,7.733
Champion AGDM,19-Mar-11,-5.442,1.832,-1.872,72.4,96.7,87.438,25.6,0.4,8.422
Champion AGDM,20-Mar-11,-4.338,-0.618,-2.66,75.9,97.5,89.025,26.6,1,10.45
Champion AGDM,21-Mar-11,-4.865,-0.956,-3.02,85.3,97.6,94.125,34.9,8.3,11.426
Champion AGDM,22-Mar-11,-3.032,0.36,-1.836,82.9,98,93.129,36.3,1.4,10.485
Champion AGDM,23-Mar-11,-4.865,-0.042,-2.512,79.9,98.4,90.329,39,2.7,9.233
Champion AGDM,24-Mar-11,-5.943,-2.173,-4.284,86.9,98.8,95.592,39,0,10.56
Champion AGDM,25-Mar-11,-6.417,-2.203,-4.646,86.1,97.5,95.117,39,0,9.243
Champion AGDM,26-Mar-11,-6.49,-0.829,-3.682,82.6,98.2,93.363,39.6,0.6,10.245
Champion AGDM,27-Mar-11,-3.619,-0.355,-2.346,83.8,99.1,94.546,40.7,1.1,11.445
Champion AGDM,28-Mar-11,-5.743,4.778,-1.362,65.59,98.7,89.306,41.8,1.1,6.09
Champion AGDM,29-Mar-11,-7.49,11.14,1.316,31.61,99.1,76.395,41.9,0.1,4.517
Champion AGDM,30-Mar-11,-1.956,11.19,4.689,45.38,86.7,66.998,41.9,0,12.89
Champion AGDM,31-Mar-11,-1.091,11.33,4.098,54.87,94.4,76.303,41.9,0,9.085
Champion AGDM,01-Apr-11,-1.342,4.475,1.313,76.2,98.1,91.827,45,3.1,9.37
Champion AGDM,02-Apr-11,-1.734,0.936,-0.798,91.4,99.6,97.248,53.7,8.7,19.148
Champion AGDM,03-Apr-11,-6.99,4.772,-1.439,62.23,96.5,82.088,53.8,0.1,11.961
Champion AGDM,04-Apr-11,-3.375,8.9,2.443,41.56,82.3,66.586,53.8,0,11.997
Champion AGDM,05-Apr-11,-1.661,8.78,3.291,28.14,91.1,62.942,53.8,0,13.352
Champion AGDM,06-Apr-11,-4.562,7.46,0.907,33.54,92.8,64.983,53.8,0,7.599
Champion AGDM,07-Apr-11,-4.258,1.701,-1.306,66.6,95.5,85.773,53.9,0.1,14.467
Champion AGDM,08-Apr-11,-6.337,6.02,-0.182,48.06,94.4,74.286,54,0.1,13.541
Champion AGDM,09-Apr-11,-4.713,11.61,3.261,26.23,95.9,60.318,54,0,7.257
Champion AGDM,10-Apr-11,-1.602,14.42,6.202,25.12,86.8,55.04,54,0,13.441
Champion AGDM,11-Apr-11,-2.862,13.46,6.928,31.63,72.4,52.722,54,0,23.622
Champion AGDM,12-Apr-11,-5.936,8.87,1.306,26.42,82,54.025,54,0,8.976
Champion AGDM,13-Apr-11,-7.07,8.49,0.438,42.73,98.7,81.377,55.8,1.8,13.153
