"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Max. (°C)","Air Temp. Avg. (°C)","Humidity Min. (%)","Humidity Max. (%)","Humidity Avg. (%)","Precip. Accumulated (mm)","Precip. (mm)","Wind Speed 2 m Avg. (km/h)","Wind Speed 10 m Avg. (km/h)"
"Blackie AGCM","28-May-2017","7.243","22.860","15.723","25.000","89.900","52.197","0.000","0.000","9.166","10.844"
"Blackie AGCM","29-May-2017","4.940","24.930","15.518","22.540","86.500","48.250","0.100","0.100","12.619","14.726"
"Blackie AGCM","30-May-2017","4.176","26.920","17.152","18.290","84.500","47.260","0.100","0.000","12.808","15.625"
"Blackie AGCM","31-May-2017","5.822","29.250","19.391","18.800","90.300","48.433","0.100","0.000","12.487","14.751"
"Blackie AGCM","01-June-2017","12.630","24.460","18.525","26.870","78.850","50.129","0.300","0.200","10.559","12.242"
"Blackie AGCM","02-June-2017","8.210","23.050","16.817","18.970","68.390","40.517","0.400","0.100","15.975","21.425"
"Blackie AGCM","03-June-2017","1.197","27.080","16.794","11.670","82.100","40.705","0.400","0.000","12.348","14.683"
"Blackie AGCM","04-June-2017","10.170","24.660","17.261","30.610","92.600","56.558","4.300","3.900","9.664","11.111"
"Blackie AGCM","05-June-2017","8.600","19.820","13.596","35.570","98.100","71.454","7.000","2.700","12.671","14.812"
"Blackie AGCM","06-June-2017","2.848","22.620","14.693","27.220","101.800","60.895","7.100","0.100","16.061","19.400"
"Blackie AGCM","07-June-2017","5.733","27.260","17.820","25.890","92.000","55.984","7.100","0.000","10.463","12.750"
"Blackie AGCM","08-June-2017","10.790","27.440","18.627","32.360","96.700","58.538","27.500","20.400","13.345","16.355"
"Blackie AGCM","09-June-2017","9.430","20.060","15.209","29.040","99.600","60.465","27.600","0.100","14.168","17.797"
"Blackie AGCM","10-June-2017","2.692","16.280","9.229","33.550","92.800","70.681","38.400","10.800","15.370","20.008"
"Blackie AGCM","11-June-2017","6.359","20.730","13.813","33.740","89.600","61.743","39.200","0.800","10.571","12.885"
"Blackie AGCM","12-June-2017","4.672","23.720","15.155","28.050","101.600","64.496","39.200","0.000","11.971","15.234"
"Blackie AGCM","13-June-2017","6.547","19.020","12.427","68.210","99.500","87.522","69.600","30.400","13.013","16.376"
"Blackie AGCM","14-June-2017","9.850","18.230","12.850","61.810","97.400","83.759","72.700","3.100","12.402","14.801"
