Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Humidity Min. (%),Humidity Max. (%),Humidity Avg. (%),Precip. Accumulated (mm),Precip. (mm),Wind Speed 2 m Avg. (km/h),Wind Speed 10 m Avg. (km/h)
Blackie AGCM,28-May-17,7.243,22.86,15.723,25,89.9,52.197,0,0,9.166,10.844
Blackie AGCM,29-May-17,4.94,24.93,15.518,22.54,86.5,48.25,0.1,0.1,12.619,14.726
Blackie AGCM,30-May-17,4.176,26.92,17.152,18.29,84.5,47.26,0.1,0,12.808,15.625
Blackie AGCM,31-May-17,5.822,29.25,19.391,18.8,90.3,48.433,0.1,0,12.487,14.751
Blackie AGCM,01-Jun-17,12.63,24.46,18.525,26.87,78.85,50.129,0.3,0.2,10.559,12.242
Blackie AGCM,02-Jun-17,8.21,23.05,16.817,18.97,68.39,40.517,0.4,0.1,15.975,21.425
Blackie AGCM,03-Jun-17,1.197,27.08,16.794,11.67,82.1,40.705,0.4,0,12.348,14.683
Blackie AGCM,04-Jun-17,10.17,24.66,17.261,30.61,92.6,56.558,4.3,3.9,9.664,11.111
Blackie AGCM,05-Jun-17,8.6,19.82,13.596,35.57,98.1,71.454,7,2.7,12.671,14.812
Blackie AGCM,06-Jun-17,2.848,22.62,14.693,27.22,101.8,60.895,7.1,0.1,16.061,19.4
Blackie AGCM,07-Jun-17,5.733,27.26,17.82,25.89,92,55.984,7.1,0,10.463,12.75
Blackie AGCM,08-Jun-17,10.79,27.44,18.627,32.36,96.7,58.538,27.5,20.4,13.345,16.355
Blackie AGCM,09-Jun-17,9.43,20.06,15.209,29.04,99.6,60.465,27.6,0.1,14.168,17.797
Blackie AGCM,10-Jun-17,2.692,16.28,9.229,33.55,92.8,70.681,38.4,10.8,15.37,20.008
Blackie AGCM,11-Jun-17,6.359,20.73,13.813,33.74,89.6,61.743,39.2,0.8,10.571,12.885
Blackie AGCM,12-Jun-17,4.672,23.72,15.155,28.05,101.6,64.496,39.2,0,11.971,15.234
Blackie AGCM,13-Jun-17,6.547,19.02,12.427,68.21,99.5,87.522,69.6,30.4,13.013,16.376
Blackie AGCM,14-Jun-17,9.85,18.23,12.85,61.81,97.4,83.759,72.7,3.1,12.402,14.801
Blackie AGCM,15-Jun-17,4.755,20.09,13.209,34.13,91.1,59.941,72.7,0,8.366,10.405
Blackie AGCM,16-Jun-17,10.05,21.65,15.408,30.78,90.5,54.347,74.4,1.7,12.723,16.349
Blackie AGCM,17-Jun-17,7.62,20,13.77,40.21,95.5,64.715,74.6,0.2,8.692,10.835
Blackie AGCM,18-Jun-17,7.599,21.33,14.692,32.19,96,61.245,74.6,0,6.563,8.187
Blackie AGCM,19-Jun-17,6.082,20.37,13.811,45.75,90.4,68.301,74.6,0,10.542,13.75
Blackie AGCM,20-Jun-17,8.58,27.08,18.412,24.53,94.5,56.045,74.6,0,10.95,13.893
Blackie AGCM,21-Jun-17,7.034,20.22,13.375,23.44,96.6,59.5,74.6,0,11.606,14.574
Blackie AGCM,22-Jun-17,1.315,16.8,10.376,38.22,86.5,62.217,74.6,0,14.299,18.993
Blackie AGCM,23-Jun-17,8.48,20.31,13.688,31.44,94.3,64.426,75,0.4,7.164,8.96
Blackie AGCM,24-Jun-17,7.292,21.71,14.77,35.82,94.9,65.103,75.4,0.4,5.511,6.779
Blackie AGCM,25-Jun-17,3.238,24.86,16.08,39.41,101.8,66.501,75.4,0,11.297,15.312
Blackie AGCM,26-Jun-17,10.67,31.21,19.313,28.88,85.9,60.016,75.4,0,10.652,13.947
Blackie AGCM,27-Jun-17,8.21,21.92,16.706,39.41,88.9,60.051,75.4,0,12.067,15.872
Blackie AGCM,28-Jun-17,3.018,20.88,12.7,33.27,100.6,72.08,75.4,0,11.998,16.537
Blackie AGCM,29-Jun-17,6.105,21.16,13.942,40.94,97.9,73.713,75.4,0,7.422,10.252
Blackie AGCM,30-Jun-17,5.972,27.71,17.508,28.39,98.9,64.076,75.4,0,5.87,8.275
Blackie AGCM,01-Jul-17,7.529,26.47,16.988,42.62,98.8,74.5,78.9,3.5,7.391,9.976
Blackie AGCM,02-Jul-17,9.91,28.59,19.59,27.97,93.5,66.054,79,0.1,7.699,9.968
Blackie AGCM,03-Jul-17,9.65,24.46,18.086,57.24,93.9,74.558,79,0,10.389,14.567
Blackie AGCM,04-Jul-17,8.66,27.83,18.28,28.74,99.5,64.288,79,0,10.214,13.605
Blackie AGCM,05-Jul-17,6.965,27.25,17.892,34.84,87.9,59.661,79,0,9.275,14.275
Blackie AGCM,06-Jul-17,6.896,29.17,18.672,24.83,99,65.943,79,0,6.049,8.899
Blackie AGCM,07-Jul-17,9.2,33.14,21.426,22.05,95.9,58.863,79,0,7.618,10.957
Blackie AGCM,08-Jul-17,12.34,28.28,20.887,45.55,95.9,66.497,79,0,8.83,13.554
Blackie AGCM,09-Jul-17,10.71,31.72,21.658,21.69,100.7,65.531,79,0,5.918,8.462
Blackie AGCM,10-Jul-17,10.41,22.69,16.335,60.59,96,84.61,84.4,5.4,9.463,14.078
Blackie AGCM,11-Jul-17,9.85,18.3,14.097,67.49,98.1,87.74,86.2,1.8,8.647,12.263
Blackie AGCM,12-Jul-17,7.279,24.29,16.258,50.23,101.1,78.323,87.6,1.4,8.968,13.38
Blackie AGCM,13-Jul-17,6.563,31.91,20.362,15.36,101.4,57.505,87.6,0,7.967,9.661
Blackie AGCM,14-Jul-17,9.86,27.13,19.147,32.63,93.1,61.625,87.6,0,9.386,13.816
Blackie AGCM,15-Jul-17,8.77,28.99,19.491,33.7,96.6,63.139,87.6,0,9.431,12.111
Blackie AGCM,16-Jul-17,7.218,27.38,19.058,11.67,91,50.515,87.6,0,13.639,17.459
Blackie AGCM,17-Jul-17,3.651,21.6,12.307,22.41,99.2,66.468,87.6,0,6.081,8.121
Blackie AGCM,18-Jul-17,0.211,26.79,14.105,8.83,102.4,61.274,87.6,0,7.833,10.672
Blackie AGCM,19-Jul-17,2.175,28.81,16.176,18.7,101.2,58.547,87.6,0,5.655,8.295
Blackie AGCM,20-Jul-17,3.847,29.05,16.823,17.2,97.3,56.837,89.5,1.9,9.747,12.072
Blackie AGCM,21-Jul-17,5.959,24.23,15.445,21.84,95.4,60.107,89.6,0.1,8.515,12.149
Blackie AGCM,22-Jul-17,4.05,30.11,17.379,20.77,98.9,59.4,89.6,0,6.184,7.624
Blackie AGCM,23-Jul-17,7.062,32.7,20.848,17.84,95.7,52.945,90.5,0.9,9.667,11.929
Blackie AGCM,24-Jul-17,4.808,22.9,13.279,29.13,97.7,64.029,92.8,2.3,10.182,13.616
Blackie AGCM,25-Jul-17,2.904,25.32,15.052,24.51,101.4,62.544,92.8,0,5.607,7.679
Blackie AGCM,26-Jul-17,3.888,31.25,18.447,14.64,100.9,54.192,92.8,0,7.363,10.243
Blackie AGCM,27-Jul-17,5.263,34.02,22.105,11.94,94,43.41,92.8,0,8.164,10.006
Blackie AGCM,28-Jul-17,9.24,29.67,20.568,23.16,93.7,54.125,92.8,0,10.119,14.125
Blackie AGCM,29-Jul-17,7.223,31.1,19.669,17.68,98.1,55.92,92.8,0,7.358,10.609
Blackie AGCM,30-Jul-17,5.095,30.03,19.406,26.1,95.2,57.047,92.8,0,9.265,13.641
Blackie AGCM,31-Jul-17,5.987,28.28,17.918,28.66,101.4,68.015,92.8,0,7.362,10.108
Blackie AGCM,01-Aug-17,6.49,21.88,14.617,45.88,98.8,78.914,94.9,2.1,8.947,12.407
Blackie AGCM,02-Aug-17,8.36,20.43,14.375,49.89,99.1,80.923,95.1,0.2,8.142,10.364
Blackie AGCM,03-Aug-17,3.083,28.8,16.778,17.03,102.1,61.403,95.1,0,10.151,14.469
Blackie AGCM,04-Aug-17,8.22,20.58,15.063,48.45,93.6,69.543,95.1,0,14.995,21.681
Blackie AGCM,05-Aug-17,7.632,21.58,13.811,40.34,100.4,79.079,95.4,0.3,5.625,7.602
Blackie AGCM,06-Aug-17,3.304,26.32,15.305,23.62,102.9,66.177,95.4,0,6.271,7.682
Blackie AGCM,07-Aug-17,4.482,28.37,16.355,22.6,95.9,64.911,95.5,0.1,8.012,11.153
Blackie AGCM,08-Aug-17,7.06,22.74,15.108,41.28,100.4,76.797,95.6,0.1,5.203,6.601
Blackie AGCM,09-Aug-17,3.293,26.54,15.636,23.87,101.8,63.147,95.8,0.2,7.719,10.328
Blackie AGCM,10-Aug-17,5.44,28.1,17.343,23.64,98.7,62.017,96.1,0.3,6.485,8.964
Blackie AGCM,11-Aug-17,9.42,26.36,17.414,26.71,96.8,61.832,97.2,1.1,6.19,8.013
Blackie AGCM,12-Aug-17,3.838,28.82,17.587,23.46,100,56.073,97.3,0.1,8.734,11.829
Blackie AGCM,13-Aug-17,8.13,29.26,18.201,22.58,86.7,56.068,97.5,0.2,10.159,13.753
Blackie AGCM,14-Aug-17,5.627,20.26,12.272,42.06,100.3,85.109,99.6,2.1,7.583,10.671
Blackie AGCM,15-Aug-17,0.903,22.92,11.659,24.81,103.1,68.043,99.6,0,5.355,7.158
Blackie AGCM,16-Aug-17,1.882,28.24,15.835,16.32,101.1,53.5,99.7,0.1,5.508,7.959
Blackie AGCM,17-Aug-17,6.756,26.92,16.347,23.11,94.3,57.489,99.7,0,7.702,11.558
Blackie AGCM,18-Aug-17,4.738,30.62,18.645,11.3,93.3,45.24,99.7,0,8.695,11.497
Blackie AGCM,19-Aug-17,5.914,20.02,13.119,29.15,87.1,56.311,99.7,0,9.163,12.73
Blackie AGCM,20-Aug-17,1.081,23.24,12.874,19.38,97,52.78,99.7,0,6.262,9.011
Blackie AGCM,21-Aug-17,0.694,23.1,13.363,25.97,100.1,56.854,99.7,0,7.891,11.097
Blackie AGCM,22-Aug-17,4.662,29.63,17.62,18.75,91.3,48.615,99.7,0,6.187,9.172
Blackie AGCM,23-Aug-17,6.718,32.71,19.855,13.95,90.6,43.639,99.7,0,5.971,8.088
Blackie AGCM,24-Aug-17,8.95,29.02,18.953,15.35,76,43.404,99.7,0,12.613,15.312
Blackie AGCM,25-Aug-17,1.381,25.46,14.558,13.18,97.3,50.218,99.7,0,8.482,11.57
Blackie AGCM,26-Aug-17,3.674,26.72,15.027,13.55,72.96,39.636,99.7,0,7.006,10.499
Blackie AGCM,27-Aug-17,4.688,31.24,18.406,12.13,73.5,37.152,99.7,0,6.658,9.657
Blackie AGCM,28-Aug-17,7.717,30.02,18.8,18.91,69.59,42.87,99.7,0,8.004,12.58
Blackie AGCM,29-Aug-17,9.54,28.42,17.525,22.77,94.6,58.577,99.7,0,5.804,8.464
Blackie AGCM,30-Aug-17,6.201,34.42,20.319,9.9,93.5,47.13,99.7,0,7.047,8.921
Blackie AGCM,31-Aug-17,10.17,27.92,20.027,22.13,65.17,43.609,99.7,0,7.8,10.833
Blackie AGCM,01-Sep-17,4.234,28.82,17.219,15.04,99.1,52.887,99.7,0,7.47,9.673
Blackie AGCM,02-Sep-17,4.626,33.92,19.111,12.05,82.6,44.252,99.7,0,9.444,13.056
Blackie AGCM,03-Sep-17,4.139,23.65,14.502,29.99,93.3,63.288,99.7,0,9.022,12.114
Blackie AGCM,04-Sep-17,6.378,22.05,14.853,28.07,79.32,54.727,99.7,0,5.691,7.514
Blackie AGCM,05-Sep-17,0.239,26.23,14.323,15.18,92.6,48.212,99.7,0,9.704,13.959
