"Station Name","BLACKIE AGCM"
"Province","ALBERTA"
"Latitude","50.55"
"Longitude","-113.64"
"Elevation","1019.00"
"Climate Identifier","3030690"
"WMO Identifier",""
"TC Identifier","PXC"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-05-01 00:00","2013","05","01","00:00","-7.8","","-9.8","","86","","8","","2","","","","","M","","","-9","","NA"
"2013-05-01 01:00","2013","05","01","01:00","-9.5","","-11.0","","89","","","","0","","","","","M","","","","","NA"
"2013-05-01 02:00","2013","05","01","02:00","-9.1","","-10.8","","87","","15","","4","","","","","M","","","-11","","NA"
"2013-05-01 03:00","2013","05","01","03:00","-11.1","","-12.5","","89","","12","","7","","","","","M","","","-15","","NA"
"2013-05-01 04:00","2013","05","01","04:00","-11.4","","-13.0","","88","","17","","6","","","","","M","","","-15","","NA"
"2013-05-01 05:00","2013","05","01","05:00","-13.6","","-14.9","","90","","7","","4","","","","","M","","","-16","","NA"
"2013-05-01 06:00","2013","05","01","06:00","-10.6","","-11.9","","90","","9","","2","","","","","M","","","-12","","NA"
"2013-05-01 07:00","2013","05","01","07:00","-5.6","","-8.3","","81","","15","","9","","","","","M","","","-10","","NA"
"2013-05-01 08:00","2013","05","01","08:00","-2.9","","-7.2","","72","","18","","9","","","","","M","","","-6","","NA"
"2013-05-01 09:00","2013","05","01","09:00","0.1","","-7.2","","58","","19","","6","","","","","M","","","","","NA"
"2013-05-01 10:00","2013","05","01","10:00","3.1","","-7.5","","46","","28","","6","","","","","M","","","","","NA"
"2013-05-01 11:00","2013","05","01","11:00","5.4","","-9.4","","33","","30","","7","","","","","M","","","","","NA"
"2013-05-01 12:00","2013","05","01","12:00","6.7","","-12.8","","23","","26","","11","","","","","M","","","","","NA"
"2013-05-01 13:00","2013","05","01","13:00","7.9","","-13.1","","21","","25","","13","","","","","M","","","","","NA"
"2013-05-01 14:00","2013","05","01","14:00","9.1","","-11.0","","23","","26","","15","","","","","M","","","","","NA"
"2013-05-01 15:00","2013","05","01","15:00","9.1","","-10.6","","24","","29","","17","","","","","M","","","","","NA"
"2013-05-01 16:00","2013","05","01","16:00","10.1","","-10.8","","22","","31","","11","","","","","M","","","","","NA"
"2013-05-01 17:00","2013","05","01","17:00","10.6","","-10.0","","22","","22","","11","","","","","M","","","","","NA"
"2013-05-01 18:00","2013","05","01","18:00","10.6","","-9.5","","23","","23","","6","","","","","M","","","","","NA"
"2013-05-01 19:00","2013","05","01","19:00","9.3","","-8.9","","27","","19","","7","","","","","M","","","","","NA"
"2013-05-01 20:00","2013","05","01","20:00","0.8","","-9.9","","45","","15","","7","","","","","M","","","","","NA"
"2013-05-01 21:00","2013","05","01","21:00","0.9","","-8.5","","49","","15","","9","","","","","M","","","","","NA"
"2013-05-01 22:00","2013","05","01","22:00","-2.2","","-8.5","","62","","16","","7","","","","","M","","","-5","","NA"
"2013-05-01 23:00","2013","05","01","23:00","-3.0","","-7.2","","73","","18","","11","","","","","M","","","-7","","NA"
"2013-05-02 00:00","2013","05","02","00:00","-5.2","","-8.5","","78","","","","0","","","","","M","","","","","NA"
"2013-05-02 01:00","2013","05","02","01:00","-4.5","","-7.1","","82","","","","0","","","","","M","","","","","NA"
"2013-05-02 02:00","2013","05","02","02:00","-5.1","","-6.4","","91","","25","","2","","","","","M","","","-6","","NA"
"2013-05-02 03:00","2013","05","02","03:00","-5.4","","-7.2","","87","","19","","2","","","","","M","","","-6","","NA"
"2013-05-02 04:00","2013","05","02","04:00","-1.5","","-7.4","","64","","22","","2","","","","","M","","","-2","","NA"
"2013-05-02 05:00","2013","05","02","05:00","-5.0","","-8.1","","79","","16","","9","","","","","M","","","-9","","NA"
"2013-05-02 06:00","2013","05","02","06:00","-1.0","","-5.6","","71","","17","","7","","","","","M","","","-4","","NA"
"2013-05-02 07:00","2013","05","02","07:00","3.7","","-4.8","","54","","17","","13","","","","","M","","","","","NA"
"2013-05-02 08:00","2013","05","02","08:00","8.6","","-6.1","","35","","16","","11","","","","","M","","","","","NA"
"2013-05-02 09:00","2013","05","02","09:00","12.4","","-6.0","","27","","20","","6","","","","","M","","","","","NA"
"2013-05-02 10:00","2013","05","02","10:00","14.6","","-7.1","","22","","20","","7","","","","","M","","","","","NA"
"2013-05-02 11:00","2013","05","02","11:00","16.0","","-8.5","","18","","27","","9","","","","","M","","","","","NA"
"2013-05-02 12:00","2013","05","02","12:00","17.0","","-8.8","","16","","30","","11","","","","","M","","","","","NA"
"2013-05-02 13:00","2013","05","02","13:00","17.6","","-7.8","","17","","1","","9","","","","","M","","","","","NA"
"2013-05-02 14:00","2013","05","02","14:00","18.4","","-6.7","","18","","27","","11","","","","","M","","","","","NA"
"2013-05-02 15:00","2013","05","02","15:00","19.1","","-7.0","","16","","21","","11","","","","","M","","","","","NA"
"2013-05-02 16:00","2013","05","02","16:00","19.1","","-7.2","","16","","34","","6","","","","","M","","","","","NA"
"2013-05-02 17:00","2013","05","02","17:00","19.4","","-7.7","","15","","33","","7","","","","","M","","","","","NA"
"2013-05-02 18:00","2013","05","02","18:00","18.8","","-6.9","","17","","29","","2","","","","","M","","","","","NA"
