"Station Name","MOSSLEIGH AGCM"
"Province","ALBERTA"
"Latitude","50.67"
"Longitude","-113.35"
"Elevation","965.00"
"Climate Identifier","3034577"
"WMO Identifier","71057"
"TC Identifier","PML"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-06-01 00:00","2017","06","01","00:00","17.4","","8.1","","55","","","M","","M","","","","M","","","","","NA"
"2017-06-01 01:00","2017","06","01","01:00","16.1","","10.3","","68","","","M","","M","","","","M","","","","","NA"
"2017-06-01 02:00","2017","06","01","02:00","14.2","","10.1","","76","","","M","","M","","","","M","","","","","NA"
"2017-06-01 03:00","2017","06","01","03:00","15.6","","8.5","","62","","","M","","M","","","","M","","","","","NA"
"2017-06-01 04:00","2017","06","01","04:00","15.6","","7.6","","59","","","M","","M","","","","M","","","","","NA"
"2017-06-01 05:00","2017","06","01","05:00","13.9","","7.6","","66","","","M","","M","","","","M","","","","","NA"
"2017-06-01 06:00","2017","06","01","06:00","14.5","","7.3","","62","","","M","","M","","","","M","","","","","NA"
"2017-06-01 07:00","2017","06","01","07:00","15.8","","8.1","","60","","","M","","M","","","","M","","","","","NA"
"2017-06-01 08:00","2017","06","01","08:00","17.1","","8.4","","57","","","M","","M","","","","M","","","","","NA"
"2017-06-01 09:00","2017","06","01","09:00","18.2","","10.1","","59","","","M","","M","","","","M","","","","","NA"
"2017-06-01 10:00","2017","06","01","10:00","19.6","","11.5","","60","","","M","","M","","","","M","","","","","NA"
"2017-06-01 11:00","2017","06","01","11:00","21.7","","10.5","","49","","","M","","M","","","","M","","","","","NA"
"2017-06-01 12:00","2017","06","01","12:00","22.6","","8.2","","40","","","M","","M","","","","M","","","","","NA"
"2017-06-01 13:00","2017","06","01","13:00","23.7","","6.3","","33","","","M","","M","","","","M","","","","","NA"
"2017-06-01 14:00","2017","06","01","14:00","23.3","","6.0","","33","","","M","","M","","","","M","","","","","NA"
"2017-06-01 15:00","2017","06","01","15:00","23.7","","5.8","","32","","","M","","M","","","","M","","","","","NA"
"2017-06-01 16:00","2017","06","01","16:00","24.5","","5.4","","29","","","M","","M","","","","M","","","","","NA"
"2017-06-01 17:00","2017","06","01","17:00","24.0","","5.8","","31","","","M","","M","","","","M","","","","","NA"
"2017-06-01 18:00","2017","06","01","18:00","21.9","","7.1","","39","","","M","","M","","","","M","","","","","NA"
"2017-06-01 19:00","2017","06","01","19:00","20.6","","7.6","","43","","","M","","M","","","","M","","","","","NA"
"2017-06-01 20:00","2017","06","01","20:00","17.7","","8.4","","54","","","M","","M","","","","M","","","","","NA"
"2017-06-01 21:00","2017","06","01","21:00","17.4","","8.2","","55","","","M","","M","","","","M","","","","","NA"
"2017-06-01 22:00","2017","06","01","22:00","16.2","","7.3","","55","","","M","","M","","","","M","","","","","NA"
"2017-06-01 23:00","2017","06","01","23:00","16.0","","7.2","","56","","","M","","M","","","","M","","","","","NA"
