"Station Name","MOSSLEIGH AGCM"
"Province","ALBERTA"
"Current Station Operator","Government of Alberta"
"Latitude","50.67"
"Longitude","-113.35"
"Elevation","965.00"
"Climate Identifier","3034577"
"WMO Identifier","71057"
"TC Identifier","PML"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-08-01 00:00","2018","08","01","00:00","18.9","","11.5","","62","","11","","25","","","","","M","","","","","NA"
"2018-08-01 01:00","2018","08","01","01:00","18.5","","11.2","","63","","10","","22","","","","","M","","","","","NA"
"2018-08-01 02:00","2018","08","01","02:00","16.4","","11.2","","71","","9","","24","","","","","M","","","","","NA"
"2018-08-01 03:00","2018","08","01","03:00","14.6","","11.2","","80","","36","","5","","","","","M","","","","","NA"
"2018-08-01 04:00","2018","08","01","04:00","12.9","","11.1","","89","","29","","14","","","","","M","","","","","NA"
"2018-08-01 05:00","2018","08","01","05:00","11.6","","10.4","","93","","34","","2","","","","","M","","","","","NA"
"2018-08-01 06:00","2018","08","01","06:00","12.6","","11.7","","94","","7","","9","","","","","M","","","","","NA"
"2018-08-01 07:00","2018","08","01","07:00","14.1","","12.2","","88","","21","","4","","","","","M","","","","","NA"
"2018-08-01 08:00","2018","08","01","08:00","17.1","","12.9","","76","","18","","16","","","","","M","","","","","NA"
"2018-08-01 09:00","2018","08","01","09:00","19.4","","13.6","","69","","18","","18","","","","","M","","","","","NA"
"2018-08-01 10:00","2018","08","01","10:00","21.8","","13.8","","61","","19","","15","","","","","M","25","","","","NA"
"2018-08-01 11:00","2018","08","01","11:00","24.5","","14.0","","52","","15","","15","","","","","M","28","","","","NA"
"2018-08-01 12:00","2018","08","01","12:00","26.6","","14.0","","46","","15","","12","","","","","M","30","","","","NA"
"2018-08-01 13:00","2018","08","01","13:00","28.7","","14.2","","41","","17","","12","","","","","M","32","","","","NA"
"2018-08-01 14:00","2018","08","01","14:00","30.0","","13.8","","37","","14","","12","","","","","M","33","","","","NA"
"2018-08-01 15:00","2018","08","01","15:00","31.2","","10.8","","28","","12","","13","","","","","M","33","","","","NA"
"2018-08-01 16:00","2018","08","01","16:00","31.2","","14.1","","36","","8","","6","","","","","M","35","","","","NA"
"2018-08-01 17:00","2018","08","01","17:00","27.4","","16.1","","50","","7","","14","","","","","M","32","","","","NA"
"2018-08-01 18:00","2018","08","01","18:00","26.4","","16.9","","56","","2","","15","","","","","M","32","","","","NA"
"2018-08-01 19:00","2018","08","01","19:00","23.0","","13.5","","55","","1","","13","","","","","M","26","","","","NA"
"2018-08-01 20:00","2018","08","01","20:00","21.1","","11.9","","56","","36","","16","","","","","M","","","","","NA"
"2018-08-01 21:00","2018","08","01","21:00","20.4","","9.7","","50","","1","","14","","","","","M","","","","","NA"
"2018-08-01 22:00","2018","08","01","22:00","17.0","","11.2","","69","","35","","7","","","","","M","","","","","NA"
"2018-08-01 23:00","2018","08","01","23:00","16.3","","12.4","","78","","17","","5","","","","","M","","","","","NA"
"2018-08-02 00:00","2018","08","02","00:00","18.0","","13.1","","73","","30","","10","","","","","M","","","","","NA"
"2018-08-02 01:00","2018","08","02","01:00","16.5","","14.2","","87","","2","","7","","","","","M","","","","","NA"
"2018-08-02 02:00","2018","08","02","02:00","14.5","","12.6","","89","","1","","7","","","","","M","","","","","NA"
"2018-08-02 03:00","2018","08","02","03:00","14.2","","11.6","","84","","32","","6","","","","","M","","","","","NA"
"2018-08-02 04:00","2018","08","02","04:00","12.9","","11.1","","89","","31","","3","","","","","M","","","","","NA"
"2018-08-02 05:00","2018","08","02","05:00","11.6","","10.1","","91","","6","","7","","","","","M","","","","","NA"
"2018-08-02 06:00","2018","08","02","06:00","11.1","","10.1","","94","","18","","7","","","","","M","","","","","NA"
"2018-08-02 07:00","2018","08","02","07:00","14.3","","12.2","","87","","13","","7","","","","","M","","","","","NA"
"2018-08-02 08:00","2018","08","02","08:00","18.7","","12.0","","65","","11","","7","","","","","M","","","","","NA"
"2018-08-02 09:00","2018","08","02","09:00","20.1","","12.5","","62","","34","","8","","","","","M","","","","","NA"
"2018-08-02 10:00","2018","08","02","10:00","20.8","","13.3","","62","","3","","8","","","","","M","","","","","NA"
"2018-08-02 11:00","2018","08","02","11:00","24.1","","13.3","","51","","13","","12","","","","","M","27","","","","NA"
"2018-08-02 12:00","2018","08","02","12:00","25.5","","12.3","","44","","11","","15","","","","","M","28","","","","NA"
"2018-08-02 13:00","2018","08","02","13:00","26.3","","11.8","","40","","6","","9","","","","","M","28","","","","NA"
"2018-08-02 14:00","2018","08","02","14:00","27.5","","13.0","","41","","5","","11","","","","","M","30","","","","NA"
"2018-08-02 15:00","2018","08","02","15:00","21.8","","11.5","","52","","34","","35","","","","","M","","","","","NA"
"2018-08-02 16:00","2018","08","02","16:00","22.8","","11.5","","49","","1","","24","","","","","M","25","","","","NA"
"2018-08-02 17:00","2018","08","02","17:00","23.7","","11.5","","46","","36","","25","","","","","M","26","","","","NA"
"2018-08-02 18:00","2018","08","02","18:00","21.5","","9.9","","47","","4","","16","","","","","M","","","","","NA"
"2018-08-02 19:00","2018","08","02","19:00","15.7","","7.4","","58","","28","","43","","","","","M","","","","","NA"
"2018-08-02 20:00","2018","08","02","20:00","22.6","","3.3","","28","","18","","34","","","","","M","","","","","NA"
"2018-08-02 21:00","2018","08","02","21:00","19.1","","6.8","","45","","28","","12","","","","","M","","","","","NA"
"2018-08-02 22:00","2018","08","02","22:00","15.4","","10.7","","73","","35","","11","","","","","M","","","","","NA"
