"Station Name","TRAVERS AGCM"
"Province","ALBERTA"
"Current Station Operator","Government of Alberta"
"Latitude","50.30"
"Longitude","-112.86"
"Elevation","955.00"
"Climate Identifier","3036500"
"WMO Identifier","71848"
"TC Identifier","PTR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-10-01 00:00","2018","10","01","00:00","-1.3","","-1.4","","100","","11","","14","","","","","M","","","-6","","NA"
"2018-10-01 01:00","2018","10","01","01:00","-1.2","","-1.2","","100","","11","","12","","","","","M","","","-5","","NA"
"2018-10-01 02:00","2018","10","01","02:00","-1.2","","-1.2","","100","","10","","9","","","","","M","","","-4","","NA"
"2018-10-01 03:00","2018","10","01","03:00","-1.1","","-1.1","","100","","9","","7","","","","","M","","","-4","","NA"
"2018-10-01 04:00","2018","10","01","04:00","-1.0","","-1.0","","100","","9","","8","","","","","M","","","-4","","NA"
"2018-10-01 05:00","2018","10","01","05:00","-0.8","","-0.8","","100","","10","","9","","","","","M","","","-4","","NA"
"2018-10-01 06:00","2018","10","01","06:00","-0.5","","-0.5","","100","","7","","9","","","","","M","","","-4","","NA"
"2018-10-01 07:00","2018","10","01","07:00","-0.3","","-0.3","","100","","7","","8","","","","","M","","","-3","","NA"
"2018-10-01 08:00","2018","10","01","08:00","0.0","","0.0","","100","","4","","8","","","","","M","","","-3","","NA"
"2018-10-01 09:00","2018","10","01","09:00","0.5","","0.5","","100","","3","","10","","","","","M","","","","","NA"
"2018-10-01 10:00","2018","10","01","10:00","0.4","","0.4","","100","","4","","14","","","","","M","","","","","NA"
"2018-10-01 11:00","2018","10","01","11:00","1.0","","1.0","","100","","4","","11","","","","","M","","","","","NA"
"2018-10-01 12:00","2018","10","01","12:00","0.8","","0.8","","100","","35","","15","","","","","M","","","","","NA"
"2018-10-01 13:00","2018","10","01","13:00","0.8","","0.8","","100","","35","","15","","","","","M","","","","","NA"
"2018-10-01 14:00","2018","10","01","14:00","1.5","","1.4","","99","","1","","14","","","","","M","","","","","NA"
"2018-10-01 15:00","2018","10","01","15:00","1.8","","0.6","","91","","1","","11","","","","","M","","","","","NA"
"2018-10-01 16:00","2018","10","01","16:00","1.6","","0.6","","93","","2","","13","","","","","M","","","","","NA"
"2018-10-01 17:00","2018","10","01","17:00","2.0","","0.2","","88","","1","","10","","","","","M","","","","","NA"
"2018-10-01 18:00","2018","10","01","18:00","1.0","","0.7","","98","","3","","16","","","","","M","","","","","NA"
"2018-10-01 19:00","2018","10","01","19:00","0.9","","0.8","","99","","2","","12","","","","","M","","","","","NA"
"2018-10-01 20:00","2018","10","01","20:00","0.8","","0.8","","100","","2","","12","","","","","M","","","","","NA"
"2018-10-01 21:00","2018","10","01","21:00","0.5","","0.5","","100","","4","","10","","","","","M","","","","","NA"
"2018-10-01 22:00","2018","10","01","22:00","0.1","","0.1","","100","","5","","11","","","","","M","","","","","NA"
"2018-10-01 23:00","2018","10","01","23:00","0.0","","0.0","","100","","4","","15","","","","","M","","","-4","","NA"
"2018-10-02 00:00","2018","10","02","00:00","-0.2","","-0.2","","100","","3","","16","","","","","M","","","-5","","NA"
"2018-10-02 01:00","2018","10","02","01:00","-0.4","","-0.4","","100","","3","","18","","","","","M","","","-5","","NA"
"2018-10-02 02:00","2018","10","02","02:00","-0.3","","-0.3","","100","","2","","18","","","","","M","","","-5","","NA"
"2018-10-02 03:00","2018","10","02","03:00","-0.8","","-0.8","","100","","3","","17","","","","","M","","","-6","","NA"
"2018-10-02 04:00","2018","10","02","04:00","-0.9","","-0.9","","100","","3","","18","","","","","M","","","-6","","NA"
"2018-10-02 05:00","2018","10","02","05:00","-1.0","","-1.0","","100","","1","","13","","","","","M","","","-5","","NA"
"2018-10-02 06:00","2018","10","02","06:00","-1.0","","-1.0","","100","","1","","15","","","","","M","","","-6","","NA"
"2018-10-02 07:00","2018","10","02","07:00","-1.0","","-1.0","","100","","5","","11","","","","","M","","","-5","","NA"
"2018-10-02 08:00","2018","10","02","08:00","-1.1","","-1.1","","100","","6","","11","","","","","M","","","-5","","NA"
"2018-10-02 09:00","2018","10","02","09:00","-1.0","","-1.0","","100","","7","","15","","","","","M","","","-6","","NA"
"2018-10-02 10:00","2018","10","02","10:00","-0.8","","-0.9","","99","","7","","14","","","","","M","","","-5","","NA"
"2018-10-02 11:00","2018","10","02","11:00","-0.7","","-0.9","","98","","7","","15","","","","","M","","","-5","","NA"
"2018-10-02 12:00","2018","10","02","12:00","-0.4","","-0.5","","99","","7","","13","","","","","M","","","-5","","NA"
"2018-10-02 13:00","2018","10","02","13:00","0.0","","-0.9","","94","","7","","16","","","","","M","","","-5","","NA"
"2018-10-02 14:00","2018","10","02","14:00","0.7","","-0.9","","89","","7","","14","","","","","M","","","","","NA"
"2018-10-02 15:00","2018","10","02","15:00","0.5","","-1.2","","88","","8","","17","","","","","M","","","","","NA"
"2018-10-02 16:00","2018","10","02","16:00","0.4","","-1.0","","91","","7","","17","","","","","M","","","","","NA"
"2018-10-02 17:00","2018","10","02","17:00","-0.1","","-1.1","","93","","7","","20","","","","","M","","","-5","","NA"
"2018-10-02 18:00","2018","10","02","18:00","-0.3","","-1.3","","93","","7","","20","","","","","M","","","-6","","NA"
"2018-10-02 19:00","2018","10","02","19:00","-1.1","","-1.2","","99","","5","","19","","","","","M","","","-6","","NA"
"2018-10-02 20:00","2018","10","02","20:00","-1.5","","-1.5","","100","","8","","18","","","","","M","","","-7","","NA"
"2018-10-02 21:00","2018","10","02","21:00","-1.8","","-1.8","","100","","6","","16","","","","","M","","","-7","","NA"
"2018-10-02 22:00","2018","10","02","22:00","-2.2","","-2.2","","100","","5","","21","","","","","M","","","-8","","NA"
"2018-10-02 23:00","2018","10","02","23:00","-2.4","","-2.4","","100","","4","","19","","","","","M","","","-8","","NA"
"2018-10-03 00:00","2018","10","03","00:00","-2.8","","-2.8","","100","","2","","18","","","","","M","","","-8","","NA"
