"Station Name","TRAVERS AGCM"
"Province","ALBERTA"
"Latitude","50.30"
"Longitude","-112.86"
"Elevation","955.00"
"Climate Identifier","3036500"
"WMO Identifier","71848"
"TC Identifier","PTR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-11-01 00:00","2016","11","01","00:00","5.6","","1.7","","76","","","M","","M","","","","M","","","","","NA"
"2016-11-01 01:00","2016","11","01","01:00","6.8","","1.5","","69","","","M","","M","","","","M","","","","","NA"
"2016-11-01 02:00","2016","11","01","02:00","6.3","","1.2","","70","","","M","","M","","","","M","","","","","NA"
"2016-11-01 03:00","2016","11","01","03:00","5.9","","0.9","","70","","","M","","M","","","","M","","","","","NA"
"2016-11-01 04:00","2016","11","01","04:00","6.4","","1.0","","68","","","M","","M","","","","M","","","","","NA"
"2016-11-01 05:00","2016","11","01","05:00","1.4","","1.4","","100","","","M","","M","","","","M","","","","","NA"
"2016-11-01 06:00","2016","11","01","06:00","1.6","","1.6","","100","","","M","","M","","","","M","","","","","NA"
"2016-11-01 07:00","2016","11","01","07:00","0.7","","0.7","","100","","","M","","M","","","","M","","","","","NA"
"2016-11-01 08:00","2016","11","01","08:00","1.4","","1.4","","100","","","M","","M","","","","M","","","","","NA"
"2016-11-01 09:00","2016","11","01","09:00","1.9","","1.7","","98","","","M","","M","","","","M","","","","","NA"
"2016-11-01 10:00","2016","11","01","10:00","2.1","","1.7","","97","","","M","","M","","","","M","","","","","NA"
"2016-11-01 11:00","2016","11","01","11:00","2.6","","1.8","","94","","","M","","M","","","","M","","","","","NA"
"2016-11-01 12:00","2016","11","01","12:00","4.4","","2.1","","85","","","M","","M","","","","M","","","","","NA"
"2016-11-01 13:00","2016","11","01","13:00","5.8","","1.9","","76","","","M","","M","","","","M","","","","","NA"
"2016-11-01 14:00","2016","11","01","14:00","6.4","","2.2","","75","","","M","","M","","","","M","","","","","NA"
"2016-11-01 15:00","2016","11","01","15:00","6.4","","2.7","","77","","","M","","M","","","","M","","","","","NA"
"2016-11-01 16:00","2016","11","01","16:00","6.3","","3.1","","80","","","M","","M","","","","M","","","","","NA"
"2016-11-01 17:00","2016","11","01","17:00","4.7","","3.0","","89","","","M","","M","","","","M","","","","","NA"
"2016-11-01 18:00","2016","11","01","18:00","2.6","","2.2","","97","","","M","","M","","","","M","","","","","NA"
"2016-11-01 19:00","2016","11","01","19:00","3.0","","1.1","","88","","","M","","M","","","","M","","","","","NA"
"2016-11-01 20:00","2016","11","01","20:00","3.8","","0.2","","78","","","M","","M","","","","M","","","","","NA"
"2016-11-01 21:00","2016","11","01","21:00","2.8","","-0.3","","80","","","M","","M","","","","M","","","","","NA"
"2016-11-01 22:00","2016","11","01","22:00","2.0","","-0.7","","83","","","M","","M","","","","M","","","","","NA"
"2016-11-01 23:00","2016","11","01","23:00","2.2","","-0.5","","82","","","M","","M","","","","M","","","","","NA"
"2016-11-02 00:00","2016","11","02","00:00","3.4","","0.5","","81","","","M","","M","","","","M","","","","","NA"
"2016-11-02 01:00","2016","11","02","01:00","4.3","","0.5","","76","","","M","","M","","","","M","","","","","NA"
"2016-11-02 02:00","2016","11","02","02:00","5.6","","1.0","","72","","","M","","M","","","","M","","","","","NA"
"2016-11-02 03:00","2016","11","02","03:00","7.0","","1.0","","66","","","M","","M","","","","M","","","","","NA"
"2016-11-02 04:00","2016","11","02","04:00","7.2","","0.9","","64","","","M","","M","","","","M","","","","","NA"
"2016-11-02 05:00","2016","11","02","05:00","7.7","","1.5","","65","","","M","","M","","","","M","","","","","NA"
"2016-11-02 06:00","2016","11","02","06:00","7.4","","1.6","","66","","","M","","M","","","","M","","","","","NA"
"2016-11-02 07:00","2016","11","02","07:00","6.6","","1.5","","70","","","M","","M","","","","M","","","","","NA"
"2016-11-02 08:00","2016","11","02","08:00","6.9","","1.3","","67","","","M","","M","","","","M","","","","","NA"
"2016-11-02 09:00","2016","11","02","09:00","8.4","","1.2","","61","","","M","","M","","","","M","","","","","NA"
"2016-11-02 10:00","2016","11","02","10:00","9.1","","2.1","","61","","","M","","M","","","","M","","","","","NA"
"2016-11-02 11:00","2016","11","02","11:00","10.6","","2.5","","57","","","M","","M","","","","M","","","","","NA"
"2016-11-02 12:00","2016","11","02","12:00","10.9","","2.7","","57","","","M","","M","","","","M","","","","","NA"
"2016-11-02 13:00","2016","11","02","13:00","10.4","","2.6","","58","","","M","","M","","","","M","","","","","NA"
"2016-11-02 14:00","2016","11","02","14:00","9.8","","2.6","","61","","","M","","M","","","","M","","","","","NA"
"2016-11-02 15:00","2016","11","02","15:00","9.7","","2.9","","62","","","M","","M","","","","M","","","","","NA"
"2016-11-02 16:00","2016","11","02","16:00","10.7","","2.4","","57","","","M","","M","","","","M","","","","","NA"
"2016-11-02 17:00","2016","11","02","17:00","10.8","","2.2","","55","","","M","","M","","","","M","","","","","NA"
"2016-11-02 18:00","2016","11","02","18:00","9.6","","2.1","","59","","","M","","M","","","","M","","","","","NA"
"2016-11-02 19:00","2016","11","02","19:00","9.4","","1.8","","59","","","M","","M","","","","M","","","","","NA"
"2016-11-02 20:00","2016","11","02","20:00","9.5","","1.8","","59","","","M","","M","","","","M","","","","","NA"
"2016-11-02 21:00","2016","11","02","21:00","9.6","","1.9","","59","","","M","","M","","","","M","","","","","NA"
"2016-11-02 22:00","2016","11","02","22:00","9.5","","2.0","","59","","","M","","M","","","","M","","","","","NA"
"2016-11-02 23:00","2016","11","02","23:00","9.7","","2.0","","59","","","M","","M","","","","M","","","","","NA"
"2016-11-03 00:00","2016","11","03","00:00","10.1","","2.3","","58","","","M","","M","","","","M","","","","","NA"
"2016-11-03 01:00","2016","11","03","01:00","10.0","","2.3","","59","","","M","","M","","","","M","","","","","NA"
"2016-11-03 02:00","2016","11","03","02:00","10.2","","2.6","","59","","","M","","M","","","","M","","","","","NA"
"2016-11-03 03:00","2016","11","03","03:00","10.0","","1.9","","57","","","M","","M","","","","M","","","","","NA"
"2016-11-03 04:00","2016","11","03","04:00","10.9","","1.3","","51","","","M","","M","","","","M","","","","","NA"
"2016-11-03 05:00","2016","11","03","05:00","10.9","","1.4","","52","","","M","","M","","","","M","","","","","NA"
"2016-11-03 06:00","2016","11","03","06:00","10.5","","0.8","","51","","","M","","M","","","","M","","","","","NA"
"2016-11-03 07:00","2016","11","03","07:00","10.5","","0.2","","49","","","M","","M","","","","M","","","","","NA"
"2016-11-03 08:00","2016","11","03","08:00","11.2","","-0.4","","44","","","M","","M","","","","M","","","","","NA"
"2016-11-03 09:00","2016","11","03","09:00","11.2","","0.9","","49","","","M","","M","","","","M","","","","","NA"
"2016-11-03 10:00","2016","11","03","10:00","14.4","","1.2","","41","","","M","","M","","","","M","","","","","NA"
"2016-11-03 11:00","2016","11","03","11:00","16.0","","0.3","","34","","","M","","M","","","","M","","","","","NA"
"2016-11-03 12:00","2016","11","03","12:00","17.5","","-1.2","","28","","","M","","M","","","","M","","","","","NA"
"2016-11-03 13:00","2016","11","03","13:00","18.1","","-0.9","","28","","","M","","M","","","","M","","","","","NA"
"2016-11-03 14:00","2016","11","03","14:00","18.3","","-1.9","","25","","","M","","M","","","","M","","","","","NA"
"2016-11-03 15:00","2016","11","03","15:00","18.2","","-3.0","","23","","","M","","M","","","","M","","","","","NA"
"2016-11-03 16:00","2016","11","03","16:00","16.0","","-1.0","","31","","","M","","M","","","","M","","","","","NA"
"2016-11-03 17:00","2016","11","03","17:00","14.2","","-1.2","","35","","","M","","M","","","","M","","","","","NA"
"2016-11-03 18:00","2016","11","03","18:00","11.3","","-0.5","","44","","","M","","M","","","","M","","","","","NA"
"2016-11-03 19:00","2016","11","03","19:00","9.6","","0.1","","52","","","M","","M","","","","M","","","","","NA"
"2016-11-03 20:00","2016","11","03","20:00","9.5","","0.1","","52","","","M","","M","","","","M","","","","","NA"
"2016-11-03 21:00","2016","11","03","21:00","8.8","","-0.5","","52","","","M","","M","","","","M","","","","","NA"
"2016-11-03 22:00","2016","11","03","22:00","10.3","","-1.6","","43","","","M","","M","","","","M","","","","","NA"
"2016-11-03 23:00","2016","11","03","23:00","9.0","","-1.1","","49","","","M","","M","","","","M","","","","","NA"
"2016-11-04 00:00","2016","11","04","00:00","8.7","","-1.0","","50","","","M","","M","","","","M","","","","","NA"
"2016-11-04 01:00","2016","11","04","01:00","7.9","","-1.6","","51","","","M","","M","","","","M","","","","","NA"
"2016-11-04 02:00","2016","11","04","02:00","7.6","","-0.3","","57","","","M","","M","","","","M","","","","","NA"
"2016-11-04 03:00","2016","11","04","03:00","7.4","","-0.3","","58","","","M","","M","","","","M","","","","","NA"
"2016-11-04 04:00","2016","11","04","04:00","7.9","","0.0","","57","","","M","","M","","","","M","","","","","NA"
"2016-11-04 05:00","2016","11","04","05:00","8.6","","-0.3","","54","","","M","","M","","","","M","","","","","NA"
"2016-11-04 06:00","2016","11","04","06:00","8.5","","0.7","","58","","","M","","M","","","","M","","","","","NA"
"2016-11-04 07:00","2016","11","04","07:00","9.2","","0.7","","55","","","M","","M","","","","M","","","","","NA"
"2016-11-04 08:00","2016","11","04","08:00","9.6","","0.8","","54","","","M","","M","","","","M","","","","","NA"
"2016-11-04 09:00","2016","11","04","09:00","10.5","","1.5","","54","","","M","","M","","","","M","","","","","NA"
"2016-11-04 10:00","2016","11","04","10:00","11.6","","1.9","","51","","","M","","M","","","","M","","","","","NA"
"2016-11-04 11:00","2016","11","04","11:00","16.1","","0.4","","34","","","M","","M","","","","M","","","","","NA"
"2016-11-04 12:00","2016","11","04","12:00","18.6","","-0.5","","28","","","M","","M","","","","M","","","","","NA"
"2016-11-04 13:00","2016","11","04","13:00","19.7","","-0.5","","26","","","M","","M","","","","M","","","","","NA"
"2016-11-04 14:00","2016","11","04","14:00","20.5","","-2.4","","21","","","M","","M","","","","M","","","","","NA"
"2016-11-04 15:00","2016","11","04","15:00","20.8","","-2.8","","20","","","M","","M","","","","M","","","","","NA"
"2016-11-04 16:00","2016","11","04","16:00","18.9","","0.5","","29","","","M","","M","","","","M","","","","","NA"
"2016-11-04 17:00","2016","11","04","17:00","13.5","","0.7","","41","","","M","","M","","","","M","","","","","NA"
"2016-11-04 18:00","2016","11","04","18:00","11.0","","-0.9","","43","","","M","","M","","","","M","","","","","NA"
"2016-11-04 19:00","2016","11","04","19:00","9.2","","-0.9","","49","","","M","","M","","","","M","","","","","NA"
"2016-11-04 20:00","2016","11","04","20:00","9.3","","-1.3","","47","","","M","","M","","","","M","","","","","NA"
"2016-11-04 21:00","2016","11","04","21:00","8.3","","-1.4","","50","","","M","","M","","","","M","","","","","NA"
"2016-11-04 22:00","2016","11","04","22:00","11.0","","-3.2","","37","","","M","","M","","","","M","","","","","NA"
"2016-11-04 23:00","2016","11","04","23:00","10.8","","-2.5","","39","","","M","","M","","","","M","","","","","NA"
"2016-11-05 00:00","2016","11","05","00:00","10.8","","-2.7","","39","","","M","","M","","","","M","","","","","NA"
"2016-11-05 01:00","2016","11","05","01:00","10.3","","-2.4","","41","","","M","","M","","","","M","","","","","NA"
"2016-11-05 02:00","2016","11","05","02:00","10.2","","-1.8","","43","","","M","","M","","","","M","","","","","NA"
