"Station Name","BLACKIE AGCM"
"Province","ALBERTA"
"Current Station Operator","Government of Alberta"
"Latitude","50.55"
"Longitude","-113.64"
"Elevation","1019.00"
"Climate Identifier","3030690"
"WMO Identifier",""
"TC Identifier","PXC"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-05-01 00:00","2018","05","01","00:00","5.0","","2.5","","84","","","M","16","","","","","M","","","","","NA"
"2018-05-01 01:00","2018","05","01","01:00","4.2","","1.8","","84","","","M","12","","","","","M","","","","","NA"
"2018-05-01 02:00","2018","05","01","02:00","3.8","","1.4","","84","","","M","9","","","","","M","","","","","NA"
"2018-05-01 03:00","2018","05","01","03:00","4.7","","1.7","","81","","","M","22","","","","","M","","","","","NA"
"2018-05-01 04:00","2018","05","01","04:00","5.9","","2.7","","80","","","M","21","","","","","M","","","","","NA"
"2018-05-01 05:00","2018","05","01","05:00","5.0","","2.2","","82","","","M","12","","","","","M","","","","","NA"
"2018-05-01 06:00","2018","05","01","06:00","5.1","","2.3","","82","","","M","16","","","","","M","","","","","NA"
"2018-05-01 07:00","2018","05","01","07:00","6.3","","2.6","","77","","","M","11","","","","","M","","","","","NA"
"2018-05-01 08:00","2018","05","01","08:00","7.6","","2.3","","70","","","M","21","","","","","M","","","","","NA"
"2018-05-01 09:00","2018","05","01","09:00","8.4","","0.7","","58","","","M","31","","","","","M","","","","","NA"
"2018-05-01 10:00","2018","05","01","10:00","9.0","","-0.4","","52","","","M","32","","","","","M","","","","","NA"
"2018-05-01 11:00","2018","05","01","11:00","9.8","","-0.7","","48","","","M","32","","","","","M","","","","","NA"
"2018-05-01 12:00","2018","05","01","12:00","10.9","","-1.2","","43","","","M","31","","","","","M","","","","","NA"
"2018-05-01 13:00","2018","05","01","13:00","11.1","","-1.7","","41","","","M","27","","","","","M","","","","","NA"
"2018-05-01 14:00","2018","05","01","14:00","10.9","","-2.4","","39","","","M","23","","","","","M","","","","","NA"
"2018-05-01 15:00","2018","05","01","15:00","11.8","","-3.5","","34","","","M","19","","","","","M","","","","","NA"
"2018-05-01 16:00","2018","05","01","16:00","11.7","","-3.6","","34","","","M","21","","","","","M","","","","","NA"
"2018-05-01 17:00","2018","05","01","17:00","12.6","","-4.0","","31","","","M","20","","","","","M","","","","","NA"
"2018-05-01 18:00","2018","05","01","18:00","12.0","","-4.9","","30","","","M","7","","","","","M","","","","","NA"
"2018-05-01 19:00","2018","05","01","19:00","10.4","","-2.2","","41","","","M","14","","","","","M","","","","","NA"
"2018-05-01 20:00","2018","05","01","20:00","8.7","","-0.2","","53","","","M","6","","","","","M","","","","","NA"
"2018-05-01 21:00","2018","05","01","21:00","7.1","","1.2","","66","","","M","8","","","","","M","","","","","NA"
"2018-05-01 22:00","2018","05","01","22:00","7.7","","0.9","","62","","","M","9","","","","","M","","","","","NA"
"2018-05-01 23:00","2018","05","01","23:00","4.4","","0.1","","74","","","M","5","","","","","M","","","","","NA"
"2018-05-02 00:00","2018","05","02","00:00","4.9","","1.7","","80","","","M","7","","","","","M","","","","","NA"
"2018-05-02 01:00","2018","05","02","01:00","2.7","","1.0","","89","","","M","7","","","","","M","","","","","NA"
"2018-05-02 02:00","2018","05","02","02:00","0.9","","-0.8","","89","","","M","8","","","","","M","","","","","NA"
"2018-05-02 03:00","2018","05","02","03:00","-0.2","","-0.8","","95","","","M","6","","","","","M","","","-2","","NA"
"2018-05-02 04:00","2018","05","02","04:00","-0.7","","-1.7","","93","","","M","10","","","","","M","","","-4","","NA"
"2018-05-02 05:00","2018","05","02","05:00","-2.4","","-2.8","","97","","","M","0","","","","","M","","","","","NA"
"2018-05-02 06:00","2018","05","02","06:00","1.1","","0.9","","99","","","M","3","","","","","M","","","","","NA"
"2018-05-02 07:00","2018","05","02","07:00","4.2","","0.0","","74","","","M","7","","","","","M","","","","","NA"
"2018-05-02 08:00","2018","05","02","08:00","8.1","","0.6","","59","","","M","11","","","","","M","","","","","NA"
"2018-05-02 09:00","2018","05","02","09:00","12.8","","-2.0","","36","","","M","6","","","","","M","","","","","NA"
"2018-05-02 10:00","2018","05","02","10:00","14.1","","-6.2","","24","","","M","7","","","","","M","","","","","NA"
"2018-05-02 11:00","2018","05","02","11:00","15.5","","-7.1","","20","","","M","7","","","","","M","","","","","NA"
"2018-05-02 12:00","2018","05","02","12:00","16.8","","-6.6","","20","","","M","7","","","","","M","","","","","NA"
"2018-05-02 13:00","2018","05","02","13:00","17.2","","-6.9","","19","","","M","8","","","","","M","","","","","NA"
"2018-05-02 14:00","2018","05","02","14:00","18.6","","-5.6","","19","","","M","5","","","","","M","","","","","NA"
"2018-05-02 15:00","2018","05","02","15:00","18.8","","-3.9","","21","","","M","11","","","","","M","","","","","NA"
