"Station Name","CHAMPION AGDM"
"Province","ALBERTA"
"Current Station Operator","Government of Alberta"
"Latitude","50.28"
"Longitude","-113.35"
"Elevation","1006.00"
"Climate Identifier","3031480"
"WMO Identifier","71217"
"TC Identifier","XCP"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-02-01 00:00","2019","02","01","00:00","-3.7","","-3.9","","99","","26","","16","","","","","M","","","-9","","NA"
"2019-02-01 01:00","2019","02","01","01:00","-3.6","","-3.9","","98","","28","","14","","","","","M","","","-9","","NA"
"2019-02-01 02:00","2019","02","01","02:00","-2.7","","-4.0","","91","","34","","11","","","","","M","","","-7","","NA"
"2019-02-01 03:00","2019","02","01","03:00","-3.4","","-3.9","","96","","2","","16","","","","","M","","","-9","","NA"
"2019-02-01 04:00","2019","02","01","04:00","-3.1","","-3.1","","100","","36","","21","","","","","M","","","-9","","NA"
"2019-02-01 05:00","2019","02","01","05:00","-3.5","","-3.5","","100","","36","","20","","","","","M","","","-10","","NA"
"2019-02-01 06:00","2019","02","01","06:00","-7.4","","-7.4","","100","","36","","28","","","","","M","","","-16","","NA"
"2019-02-01 07:00","2019","02","01","07:00","-8.5","","-8.6","","99","","1","","23","","","","","M","","","-17","","NA"
"2019-02-01 08:00","2019","02","01","08:00","-9.1","","-9.3","","98","","36","","16","","","","","M","","","-16","","NA"
"2019-02-01 09:00","2019","02","01","09:00","-10.1","","-10.5","","97","","35","","16","","","","","M","","","-17","","NA"
"2019-02-01 10:00","2019","02","01","10:00","-10.8","","-11.3","","96","","36","","13","","","","","M","","","-17","","NA"
"2019-02-01 11:00","2019","02","01","11:00","-10.8","","-11.2","","96","","3","","11","","","","","M","","","-17","","NA"
"2019-02-01 12:00","2019","02","01","12:00","-10.8","","-11.3","","96","","5","","13","","","","","M","","","-17","","NA"
"2019-02-01 13:00","2019","02","01","13:00","-11.1","","-11.6","","96","","7","","12","","","","","M","","","-17","","NA"
"2019-02-01 14:00","2019","02","01","14:00","-11.8","","-12.4","","95","","8","","13","","","","","M","","","-18","","NA"
"2019-02-01 15:00","2019","02","01","15:00","-12.3","","-13.0","","94","","9","","15","","","","","M","","","-20","","NA"
"2019-02-01 16:00","2019","02","01","16:00","-12.7","","-13.5","","94","","8","","16","","","","","M","","","-20","","NA"
"2019-02-01 17:00","2019","02","01","17:00","-13.5","","-14.3","","94","","9","","17","","","","","M","","","-22","","NA"
"2019-02-01 18:00","2019","02","01","18:00","-13.8","","-14.6","","93","","10","","15","","","","","M","","","-21","","NA"
"2019-02-01 19:00","2019","02","01","19:00","-14.1","","-14.9","","93","","10","","18","","","","","M","","","-23","","NA"
"2019-02-01 20:00","2019","02","01","20:00","-14.5","","-15.4","","93","","10","","18","","","","","M","","","-23","","NA"
"2019-02-01 21:00","2019","02","01","21:00","-14.5","","-15.4","","93","","11","","18","","","","","M","","","-23","","NA"
"2019-02-01 22:00","2019","02","01","22:00","-14.9","","-15.8","","93","","11","","18","","","","","M","","","-24","","NA"
"2019-02-01 23:00","2019","02","01","23:00","-15.1","","-16.0","","92","","10","","16","","","","","M","","","-23","","NA"
"2019-02-02 00:00","2019","02","02","00:00","-15.4","","-16.4","","92","","10","","19","","","","","M","","","-24","","NA"
"2019-02-02 01:00","2019","02","02","01:00","-15.8","","-16.9","","91","","10","","14","","","","","M","","","-24","","NA"
