"Station Name","QUEENSTOWN"
"Province","ALBERTA"
"Latitude","50.60"
"Longitude","-112.80"
"Elevation","941.00"
"Climate Identifier","3035342"
"WMO Identifier","71073"
"TC Identifier","PQU"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-01-01 00:00","2018","01","01","00:00","-33.5","","-37.8","","65","","6","","5","","","","","M","","","-40","","NA"
"2018-01-01 01:00","2018","01","01","01:00","-33.5","","-37.9","","65","","8","","4","","","","","M","","","-38","","NA"
"2018-01-01 02:00","2018","01","01","02:00","-35.4","","-40.0","","62","","0","","1","","","","","M","","","-37","","NA"
"2018-01-01 03:00","2018","01","01","03:00","-35.1","","-39.8","","63","","31","","2","","","","","M","","","-38","","NA"
"2018-01-01 04:00","2018","01","01","04:00","-34.9","","-39.5","","63","","20","","4","","","","","M","","","-40","","NA"
"2018-01-01 05:00","2018","01","01","05:00","-35.1","","-39.7","","63","","19","","1","","","","","M","","","-36","","NA"
"2018-01-01 06:00","2018","01","01","06:00","-33.0","","-37.3","","65","","0","","1","","","","","M","","","-34","","NA"
"2018-01-01 07:00","2018","01","01","07:00","-31.8","","-36.0","","66","","18","","3","","","","","M","","","-35","","NA"
"2018-01-01 08:00","2018","01","01","08:00","-31.9","","-36.2","","66","","19","","2","","","","","M","","","-34","","NA"
"2018-01-01 09:00","2018","01","01","09:00","-28.2","","-31.9","","70","","21","","5","","","","","M","","","-34","","NA"
"2018-01-01 10:00","2018","01","01","10:00","-25.9","","-29.4","","72","","19","","14","","","","","M","","","-36","","NA"
"2018-01-01 11:00","2018","01","01","11:00","-22.6","","-25.9","","75","","20","","12","","","","","M","","","-31","","NA"
"2018-01-01 12:00","2018","01","01","12:00","-21.2","","-24.5","","75","","21","","22","","","","","M","","","-32","","NA"
"2018-01-01 13:00","2018","01","01","13:00","-17.9","","-21.1","","76","","22","","11","","","","","M","","","-25","","NA"
"2018-01-01 14:00","2018","01","01","14:00","-18.7","","-22.4","","72","","18","","13","","","","","M","","","-27","","NA"
"2018-01-01 15:00","2018","01","01","15:00","-16.6","","-20.4","","72","","17","","11","","","","","M","","","-24","","NA"
"2018-01-01 16:00","2018","01","01","16:00","-18.5","","-22.6","","70","","22","","10","","","","","M","","","-25","","NA"
"2018-01-01 17:00","2018","01","01","17:00","-20.3","","-23.7","","74","","17","","11","","","","","M","","","-28","","NA"
"2018-01-01 18:00","2018","01","01","18:00","-18.0","","-21.3","","75","","21","","14","","","","","M","","","-26","","NA"
"2018-01-01 19:00","2018","01","01","19:00","-19.2","","-23.5","","69","","17","","4","","","","","M","","","-23","","NA"
"2018-01-01 20:00","2018","01","01","20:00","-15.8","","-20.1","","70","","22","","3","","","","","M","","","-18","","NA"
"2018-01-01 21:00","2018","01","01","21:00","-12.0","","-20.7","","48","","19","","5","","","","","M","","","-15","","NA"
"2018-01-01 22:00","2018","01","01","22:00","-9.1","","-15.7","","59","","21","","12","","","","","M","","","-15","","NA"
"2018-01-01 23:00","2018","01","01","23:00","-7.9","","-14.2","","60","","21","","8","","","","","M","","","-12","","NA"
"2018-01-02 00:00","2018","01","02","00:00","-6.9","","-14.5","","55","","20","","13","","","","","M","","","-12","","NA"
"2018-01-02 01:00","2018","01","02","01:00","-6.0","","-15.6","","47","","20","","14","","","","","M","","","-12","","NA"
"2018-01-02 02:00","2018","01","02","02:00","-8.6","","-16.3","","54","","6","","2","","","","","M","","","-10","","NA"
"2018-01-02 03:00","2018","01","02","03:00","-7.7","","-14.3","","59","","36","","2","","","","","M","","","-9","","NA"
"2018-01-02 04:00","2018","01","02","04:00","-4.7","","-13.8","","49","","2","","4","","","","","M","","","-6","","NA"
"2018-01-02 05:00","2018","01","02","05:00","-6.1","","-13.4","","56","","1","","9","","","","","M","","","-10","","NA"
"2018-01-02 06:00","2018","01","02","06:00","-6.2","","-13.2","","57","","1","","9","","","","","M","","","-10","","NA"
"2018-01-02 07:00","2018","01","02","07:00","-6.7","","-13.2","","60","","","","0","","","","","M","","","","","NA"
"2018-01-02 08:00","2018","01","02","08:00","-8.0","","-13.2","","67","","20","","3","","","","","M","","","-10","","NA"
"2018-01-02 09:00","2018","01","02","09:00","-5.0","","-11.9","","58","","21","","6","","","","","M","","","-8","","NA"
"2018-01-02 10:00","2018","01","02","10:00","-3.9","","-11.9","","54","","30","","2","","","","","M","","","-5","","NA"
"2018-01-02 11:00","2018","01","02","11:00","-1.3","","-10.3","","50","","29","","1","","","","","M","","","-2","","NA"
"2018-01-02 12:00","2018","01","02","12:00","-2.9","","-10.5","","56","","18","","6","","","","","M","","","-5","","NA"
"2018-01-02 13:00","2018","01","02","13:00","-1.3","","-9.5","","53","","18","","2","","","","","M","","","-2","","NA"
"2018-01-02 14:00","2018","01","02","14:00","-1.0","","-8.4","","57","","19","","6","","","","","M","","","-3","","NA"
"2018-01-02 15:00","2018","01","02","15:00","-3.1","","-10.2","","58","","19","","10","","","","","M","","","-7","","NA"
"2018-01-02 16:00","2018","01","02","16:00","-2.6","","-10.4","","55","","20","","10","","","","","M","","","-6","","NA"
"2018-01-02 17:00","2018","01","02","17:00","-4.2","","-11.0","","59","","18","","11","","","","","M","","","-9","","NA"
"2018-01-02 18:00","2018","01","02","18:00","-6.2","","-11.4","","67","","18","","10","","","","","M","","","-11","","NA"
"2018-01-02 19:00","2018","01","02","19:00","-5.9","","-11.0","","67","","17","","8","","","","","M","","","-10","","NA"
"2018-01-02 20:00","2018","01","02","20:00","-7.0","","-12.4","","65","","17","","9","","","","","M","","","-11","","NA"
"2018-01-02 21:00","2018","01","02","21:00","-5.6","","-11.1","","65","","18","","8","","","","","M","","","-9","","NA"
"2018-01-02 22:00","2018","01","02","22:00","-5.0","","-10.2","","67","","22","","6","","","","","M","","","-8","","NA"
"2018-01-02 23:00","2018","01","02","23:00","-6.7","","-10.5","","74","","12","","1","","","","","M","","","-7","","NA"
"2018-01-03 00:00","2018","01","03","00:00","-5.3","","-10.5","","67","","14","","3","","","","","M","","","-7","","NA"
"2018-01-03 01:00","2018","01","03","01:00","-3.3","","-9.4","","63","","3","","12","","","","","M","","","-8","","NA"
"2018-01-03 02:00","2018","01","03","02:00","-3.7","","-9.4","","64","","2","","10","","","","","M","","","-8","","NA"
"2018-01-03 03:00","2018","01","03","03:00","-4.4","","-10.1","","64","","1","","12","","","","","M","","","-9","","NA"
"2018-01-03 04:00","2018","01","03","04:00","-4.6","","-9.5","","69","","36","","18","","","","","M","","","-11","","NA"
"2018-01-03 05:00","2018","01","03","05:00","-4.4","","-9.1","","69","","36","","13","","","","","M","","","-9","","NA"
"2018-01-03 06:00","2018","01","03","06:00","-4.6","","-9.9","","67","","3","","17","","","","","M","","","-10","","NA"
"2018-01-03 07:00","2018","01","03","07:00","-6.4","","-10.4","","73","","2","","12","","","","","M","","","-12","","NA"
"2018-01-03 08:00","2018","01","03","08:00","-5.6","","-10.1","","71","","1","","9","","","","","M","","","-10","","NA"
