,loss,val_loss,epoch
1,0.08,0.0579,1
2,0.0371,0.0437,2
3,0.0292,0.0315,3
4,0.0237,0.0258,4
5,0.0214,0.0244,5
6,0.0201,0.0333,6
7,0.0224,0.0272,7
8,0.0193,0.0193,8
9,0.0174,0.0169,9
10,0.0181,0.0162,10
11,0.0179,0.0177,11
12,0.0176,0.0268,12
13,0.0168,0.0155,13
14,0.0154,0.0181,14
15,0.0147,0.0201,15
16,0.0146,0.0179,16
17,0.0147,0.0286,17
18,0.0145,0.0223,18
19,0.0147,0.0228,19
20,0.0146,0.0275,20
21,0.0141,0.0319,21
22,0.0131,0.0319,22
23,0.0133,0.0328,23
24,0.0128,0.0333,24
25,0.0125,0.0306,25
26,0.0119,0.0378,26
27,0.0112,0.0328,27
28,0.0114,0.0234,28
29,0.0108,0.0199,29
30,0.0113,0.0183,30
31,0.0108,0.021,31
32,0.01,0.016,32
33,0.0101,0.022,33
34,0.0096,0.0146,34
35,0.0092,0.0157,35
36,0.0093,0.0159,36
37,0.0094,0.0161,37
38,0.0091,0.0145,38
39,0.0089,0.0133,39
40,0.0088,0.0145,40
41,0.0086,0.0136,41
42,0.0086,0.0138,42
43,0.0083,0.0133,43
44,0.0081,0.0136,44
45,0.0081,0.0148,45
46,0.0085,0.0136,46
47,0.0083,0.0131,47
48,0.0083,0.0138,48
49,0.0077,0.0146,49
50,0.0082,0.0171,50
51,0.0082,0.0157,51
51,0.0081,0.0138,51
53,0.0077,0.0176,53
54,0.0079,0.0144,54
55,0.0078,0.013,55
56,0.0075,0.0165,56
57,0.0081,0.0142,57
58,0.0073,0.0134,58
59,0.0075,0.0198,59
60,0.0072,0.0157,60
61,0.0071,0.0185,61
62,0.0069,0.0186,62
63,0.0071,0.0151,63
64,0.0069,0.0135,64
65,0.0067,0.0156,65
66,0.0063,0.0192,66
67,0.0072,0.0164,67
68,0.0074,0.0188,68
69,0.0071,0.0143,69
70,0.0067,0.0158,70
71,0.0064,0.0176,71
72,0.0062,0.0157,72
73,0.0063,0.0169,73
74,0.0071,0.0178,74
75,0.0068,0.0176,75
76,0.0063,0.0147,76
77,0.006,0.0149,77
78,0.007,0.0177,78
79,0.0078,0.023,79
80,0.0069,0.0181,80
81,0.0059,0.0158,81
82,0.0055,0.0189,82
83,0.0057,0.0198,83
84,0.0057,0.0181,84
85,0.0054,0.0181,85
86,0.0053,0.0159,86
87,0.0052,0.0175,87
88,0.0052,0.0169,88
89,0.0057,0.0177,89
90,0.0054,0.0164,90
91,0.0052,0.0152,91
92,0.0051,0.0161,92
93,0.0053,0.0195,93
94,0.0049,0.0153,94
95,0.005,0.0162,95
96,0.0047,0.0164,96
97,0.0045,0.0154,97
98,0.0044,0.015,98
99,0.0043,0.0165,99
100,0.0043,0.015,100
101,0.0047,0.0231,101
102,0.0061,0.0143,102
103,0.0048,0.0153,103
104,0.0044,0.0162,104
105,0.0041,0.0156,105
106,0.0041,0.0155,106
107,0.0044,0.0156,107
108,0.0042,0.0158,108
109,0.0041,0.0177,109
110,0.0039,0.0167,110
111,0.004,0.0159,111
